address,longitude,latitude
"Poland, 05-822, Milanówek, Królewska, 27",20.689051341584026,52.12506535
"Poland, 05-090, Raszyn, Unii Europejskiej, 15",20.9235528,52.1537019
"Poland, 96-321, Siestrzeń, Objazdowa, 26",20.7091939,52.05042
"Poland, , Gołków, ul. Zielona, 31",,
"Poland, 05-090, Wypędy, Sokołowska, 18",20.8873315,52.1434017
"Poland, 05-825, Kozerki, Gen. Orlicz-Dreszera, 19",20.59622,52.09534
"Poland, 05-555, Tarczyn, Rynek, 14",20.8334521,51.9805937
"Poland, 05-850 , Ołtarzew, Poznańska, 14",20.7748259,52.2110062
"Poland, 05-505, Błonie, Lesznowska, 10",20.61625789608392,52.20081945
"Poland, 96-300, Żyrardów, Stanisława Moniuszki, 33",20.44933175953053,52.05628265
"Poland, 05-090, Raszyn, Słowikowskiego, 21",20.9257239,52.1593004
"Poland, 05-552, Łazy, ALEJA KRAKOWSKA, 22",20.8749431,52.0734514
"Poland, 05-500 , Piaseczno, Saperów, 9",21.2175029,51.9777107
"Poland, 02-219, Warszawa, Janowskiego, 20",21.02092803426261,52.153378599999996
"Poland, 05-831, Młochów, Mazowiecka, 6",20.7819002,52.0484871
"Poland, 05-825, Grodzisk Mazowiecki, Sienkiewicza, 33",20.6270847,52.102513
"Poland, 02-945, Warszawa, Posag 7 Panien, 18",20.8789813,52.2042119
"Poland, 02-486, Warszawa, Al. Jerozolimskie, 22",20.9513366,52.2120295
"Poland, 96-300, Żyrardów, Mickiewicza, 22",20.4484249,52.0464838
"Poland, 05-500 , Piaseczno, Jana Pawła II, 9",21.024149058513757,52.07500785
"Poland, 05-830, Kajetany, Klonowa, 9",20.816243079411763,52.0870095
"Poland, 05-830, Stara Wieś, Grodziska, 13",20.7910397,52.0823906
"Poland, 02-829, Warszawa, Taneczna, 28",21.0153699,52.1488431
"Poland, 02-384, Warszawa, Włodarzewska, 27",20.9587679,52.201748
"Poland, 96-321, Siestrzeń, Żelechowska, 14",20.7207415,52.0488052
"Poland, 05-816, Reguły, Aleja Powstańców Warszawy, 7",20.859324,52.1701047
"Poland, 02-676, Warszawa, Domaniewska, 9",21.01873205453822,52.18283925
"Poland, 05-806, Pęcice, Parkowa, 25",20.848879326755796,52.15285335
"Poland, 05-500 , Piaseczno, Rejtana, 12",21.030163192557076,52.0649133
"Poland, 02-219, Warszawa, Al. Krakowska, 22",20.933561742652934,52.16563265
"Poland, 96-325, Radziejowice, Mszczonowska, 28",20.5519395,51.997275
"Poland, 02-149, Warszawa, Hynka, 32",20.972101,52.1856577
"Poland, 96-321, Słubica A, Zarzeczna, 19",20.6326225,52.012669
"Poland, 05-825, Janinów, Norweska, 17",20.6104806,52.078606
"Poland, 02-255, Warszawa, Krakowiaków, 9",20.950927490205522,52.1856021
"Poland, 05-830, Nadarzyn, Pl. Poniatowskiego, 26",20.806133907335912,52.092827
"Poland, 05-825, Grodzisk Mazowiecki, Nadarzyńska, 26",20.64865712276089,52.0986898
"Poland, 96-314, Baranów, Południowa, 14",20.4472253,52.1660957
"Poland, 05-500 , Piaseczno, Kościuszki, 17",21.02733,52.072
"Poland, 02-497, Warszawa, AL.Jerozolimskie, 8",21.0234144,52.2326265
"Poland, 00-791, Warszawa, Słoneczna, 16",21.025776379014538,52.20784115
"Poland, 05-825, Grodzisk Mazowiecki, Składowa, 33",20.6233865,52.1090322
"Poland, 05-830, Urzut, Al. Katowicka, 14",20.7610373,52.0711725
"Poland, 02-634, Warszawa, Racławicka, 18",20.9934527,52.1967166
"Poland, 96-320, Grabce-Towarzystwo, Żukowska, 34",20.4610693,51.9841099
"Poland, 05-500, Piaseczno, Puławska, 15",21.15658923052165,52.0081921
"Poland, 05-870, Błonie, Sochaczewska, 31",20.61070435791246,52.198316000000005
