Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów
BWA,05-090,Raszyn,Unii Europejskiej,15,L-240K,1,200136,
BRA,05-505,Błonie,Lesznowska,10,L-240K,1,70681,
BHC,05-850 ,Ołtarzew,Poznańska,14,L-120K,1,200301,2 wtorek
BHC,96-321,Siestrzeń,Objazdowa,26,L-1100K,1,200301,2 i 4 piątek
BHC,05-555,Tarczyn,Rynek,14,L-240T,1,150102,1 i 3 środa
BRC,96-300,Żyrardów,Stanisława Moniuszki,33,L-1100T,1,150106,1 poniedziałek
BHC,05-090,Wypędy,Sokołowska,18,L-240P,1,150101,4 czwartek
BWC,,Gołków,ul. Zielona,31,L-1100K,1,200301,co tydzień poniedziałek
BRB,05-825,Kozerki,Gen. Orlicz-Dreszera,19,L-1100K,1,200301,co tydzień czwartek
BRA,05-822,Milanówek,Królewska,27,L-1100T,1,150102,co tydzień poniedziałek
BWB,05-090,Raszyn,Słowikowskiego,21,L-1100K,1,200301,1 i 3 wtorek
BWC,05-552,Łazy,ALEJA KRAKOWSKA,22,L-240K,1,200301,1 i 3 środa
BWB,05-500 ,Piaseczno,Saperów,9,UP-7T,1,150102, - - - - - - -
BWC,02-219,Warszawa,Janowskiego,20,L-1100P,1,150101,1 i 3 piątek
BHC,05-831,Młochów,Mazowiecka,6,L-1100K,1,200301,1 i 3 piątek
BRC,05-825,Grodzisk Mazowiecki,Sienkiewicza,33,L-240K,1,200301,2 i 4 czwartek
BWB,02-945,Warszawa,Posag 7 Panien,18,L-1100K,1,200301,co tydzień czwartek
BWC,02-486,Warszawa,Al. Jerozolimskie,22,L-1100P,1,150101,co tydzień czwartek
BRA,96-300,Żyrardów,Mickiewicza,22,L-1100K,1,200301,co tydzień poniedziałek
BWC,05-500 ,Piaseczno,Jana Pawła II,9,L-1100K,1,200301,1 i 3 poniedziałek
BHB,05-830,Kajetany,Klonowa,9,UP-7K,1,200301,2 i 4 poniedziałek
BRB,05-830,Stara Wieś,Grodziska,13,L-120S,1,150107,1 i 3 piątek
BWC,02-829,Warszawa,Taneczna,28,L-1100T,1,150102,co tydzień piątek
BWA,02-384,Warszawa,Włodarzewska,27,L-1100K,1,200301,poniedziałek czwartek sobota
BRB,96-321,Siestrzeń,Żelechowska,14,L-1100P,1,150101,2 i 4 środa
PH,05-816,Reguły,Aleja Powstańców Warszawy,7,L-1100T,1,150102,co tydzień poniedziałek
BWB,02-676,Warszawa,Domaniewska,9,L-1100K,1,200301,wtorek piątek
BHC,05-806,Pęcice,Parkowa,25,L-240K,1,200301,2 i 4 piątek
BWC,05-500 ,Piaseczno,Rejtana,12,L-240K,1,200301,1 i 3 poniedziałek
BWB,02-219,Warszawa,Al. Krakowska,22,L-1100P,1,150101,poniedziałek czwartek
BRB,96-325,Radziejowice,Mszczonowska,28,L-1100K,1,200301,co tydzień środa
BRB,02-149,Warszawa,Hynka,32,L-240B,1,200108,co tydzień wtorek
BRAB,96-321,Słubica A,Zarzeczna,19,L-1100K,1,200301,2 i 4 piątek
BRA,05-825,Janinów,Norweska,17,L-1100K,1,200301,poniedziałek czwartek
BWC,02-255,Warszawa,Krakowiaków,9,L-240T,1,150102,2 i 4 piątek
BHB,05-830,Nadarzyn,Pl. Poniatowskiego,26,L-120B,1,200201,co tydzień piątek
BRB,05-825,Grodzisk Mazowiecki,Nadarzyńska,26,L-1100K,1,200301,co tydzień wtorek
BRA,96-314,Baranów,Południowa,14,L-1100T,1,150102,poniedziałek czwartek
BWC,05-500 ,Piaseczno,Kościuszki,17,L-120K,1,200301,3 poniedziałek
