full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency
"Poland, 02-238, Warszawa, Modularna, 11",52.18501281738281,20.937429428100586,495.0,BWC,02-238,Warszawa,Modularna,11.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301
"Poland, 02-231, Warszawa, Jutrzenki, 7",52.17775344848633,20.918781280517578,495.0,BWB,02-231,Warszawa,Jutrzenki,7.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301
"Poland, 05-090, Raszyn, Puchały, Centralna, 23",52.14999008178711,20.89983558654785,495.0,BWC,05-090,Raszyn,"Puchały, Centralna",23.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301
"Poland, 05-090, Wypędy, Kwietniowa, 10",52.13740539550781,20.88597869873047,495.0,BHC,05-090,Wypędy,Kwietniowa,10.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301
"Poland, 05-831, Młochów, Al. Kasztanowa, 6",52.07192611694336,20.776269912719727,3150.0,BHA,05-831,Młochów,Al. Kasztanowa,6.0,1.0,200108_200201_200301,wtorek piątek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Pt",0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Wt_B_200108_200201_200301
"Poland, 05-090, Janki, Wichrowa, 26",52.131561279296875,20.885663986206055,54.0,BHC,05-090,Janki,Wichrowa,26.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301
"Poland, 05-090, Falenty Nowe, Willowa, 8",52.13475036621094,20.934640884399414,108.0,BWC,05-090,Falenty Nowe,Willowa,8.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301
"Poland, 02-196 , Warszawa, Popas, 28",52.16094970703125,20.9383602142334,495.0,BWC,02-196 ,Warszawa,Popas,28.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301
"Poland, 05-090, Wypędy, Zdrojowa, 19",52.15205764770508,20.879743576049805,495.0,BHC,05-090,Wypędy,Zdrojowa,19.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301
"Poland, 05-825, Grodzisk Mazowiecki, Kłudno Stare, 19",52.15156936645508,20.597408294677734,495.0,BRC,05-825,Grodzisk Mazowiecki,Kłudno Stare,19.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Wt_B_200108_200201_200301
