Samochód,pojemność,KOM_1,KOM_2,Ilość komór,L-120,L-240,L-360,L-660,L-770,L-1100,UP-2.5,UP-5,UP-7,BIG-BAG,EKO-1200,EKO-1500,EKO-2500,KP-12,KP-15,KP-20,KP-34,KP-4,KP-5,KP-7,KP-7 ZAK,L3500,MPC,MPC-10,MPC-20,MPC-5,palety,worek,Zagniatarka
SM01,7.0,7.0,,1.0,1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1,1.0
SM02 brama,21.0,21.0,,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,1.0
SM03,21.0,21.0,,1.0,1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1,1.0
SM04,21.0,21.0,,1.0,1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1,1.0
SM05,21.0,21.0,,1.0,1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1,1.0
SM06 brama,21.0,21.0,,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,1.0
SM09,16.0,11.0,5.0,2.0,"1,2","1,2",1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,2",1.0
SM11,21.0,14.0,7.0,2.0,"1,2","1,2",1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,2",1.0
SM12,18.0,12.0,6.0,2.0,"1,2","1,2",1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,2",1.0
SM13,21.0,21.0,,1.0,1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1,1.0
SM14,21.0,21.0,,1.0,1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1,1.0
SM15,21.0,21.0,,1.0,1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1,1.0
SM16,21.0,14.0,7.0,2.0,"1,2","1,2",1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,"1,2",1.0
SM17,16.0,16.0,,1.0,1,1,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1,1.0
Iveco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,0.0
HDS,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.0
HAK Maly,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,0.0
HAK Duzy,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,0.0
