Samochód,pojemność,KOM_1,KOM_2,Ilość komór,Zagniatarka,Typ pojemnika,0
SM01,7.0,7.0,,1.0,1.0,L-120,1
SM01,7.0,7.0,,1.0,1.0,L-240,1
SM01,7.0,7.0,,1.0,1.0,L-360,1.0
SM01,7.0,7.0,,1.0,1.0,L-660,1.0
SM01,7.0,7.0,,1.0,1.0,L-770,1.0
SM01,7.0,7.0,,1.0,1.0,L-1100,1.0
SM01,7.0,7.0,,1.0,1.0,UP-2.5,
SM01,7.0,7.0,,1.0,1.0,UP-5,
SM01,7.0,7.0,,1.0,1.0,UP-7,
SM01,7.0,7.0,,1.0,1.0,BIG-BAG,
SM01,7.0,7.0,,1.0,1.0,EKO-1200,
SM01,7.0,7.0,,1.0,1.0,EKO-1500,
SM01,7.0,7.0,,1.0,1.0,EKO-2500,
SM01,7.0,7.0,,1.0,1.0,KP-12,
SM01,7.0,7.0,,1.0,1.0,KP-15,
SM01,7.0,7.0,,1.0,1.0,KP-20,
SM01,7.0,7.0,,1.0,1.0,KP-34,
SM01,7.0,7.0,,1.0,1.0,KP-4,
SM01,7.0,7.0,,1.0,1.0,KP-5,
SM01,7.0,7.0,,1.0,1.0,KP-7,
SM01,7.0,7.0,,1.0,1.0,KP-7 ZAK,
SM01,7.0,7.0,,1.0,1.0,MPC-5,
SM01,7.0,7.0,,1.0,1.0,MPC-10,
SM01,7.0,7.0,,1.0,1.0,MPC-20,
SM01,7.0,7.0,,1.0,1.0,MPC-5,
SM01,7.0,7.0,,1.0,1.0,palety,
SM01,7.0,7.0,,1.0,1.0,worek,1
SM02 brama,21.0,21.0,,1.0,1.0,L-120,1
SM02 brama,21.0,21.0,,1.0,1.0,L-240,1
SM02 brama,21.0,21.0,,1.0,1.0,L-360,1.0
SM02 brama,21.0,21.0,,1.0,1.0,L-660,1.0
SM02 brama,21.0,21.0,,1.0,1.0,L-770,1.0
SM02 brama,21.0,21.0,,1.0,1.0,L-1100,1.0
SM02 brama,21.0,21.0,,1.0,1.0,UP-2.5,1.0
SM02 brama,21.0,21.0,,1.0,1.0,UP-5,1.0
SM02 brama,21.0,21.0,,1.0,1.0,UP-7,1.0
SM02 brama,21.0,21.0,,1.0,1.0,BIG-BAG,
SM02 brama,21.0,21.0,,1.0,1.0,EKO-1200,
SM02 brama,21.0,21.0,,1.0,1.0,EKO-1500,
SM02 brama,21.0,21.0,,1.0,1.0,EKO-2500,
SM02 brama,21.0,21.0,,1.0,1.0,KP-12,
SM02 brama,21.0,21.0,,1.0,1.0,KP-15,
SM02 brama,21.0,21.0,,1.0,1.0,KP-20,
SM02 brama,21.0,21.0,,1.0,1.0,KP-34,
SM02 brama,21.0,21.0,,1.0,1.0,KP-4,
SM02 brama,21.0,21.0,,1.0,1.0,KP-5,
SM02 brama,21.0,21.0,,1.0,1.0,KP-7,
SM02 brama,21.0,21.0,,1.0,1.0,KP-7 ZAK,
SM02 brama,21.0,21.0,,1.0,1.0,MPC-5,
SM02 brama,21.0,21.0,,1.0,1.0,MPC-10,
SM02 brama,21.0,21.0,,1.0,1.0,MPC-20,
SM02 brama,21.0,21.0,,1.0,1.0,MPC-5,
SM02 brama,21.0,21.0,,1.0,1.0,palety,
SM02 brama,21.0,21.0,,1.0,1.0,worek,1
SM03,21.0,21.0,,1.0,1.0,L-120,1
SM03,21.0,21.0,,1.0,1.0,L-240,1
SM03,21.0,21.0,,1.0,1.0,L-360,1.0
SM03,21.0,21.0,,1.0,1.0,L-660,1.0
SM03,21.0,21.0,,1.0,1.0,L-770,1.0
SM03,21.0,21.0,,1.0,1.0,L-1100,1.0
SM03,21.0,21.0,,1.0,1.0,UP-2.5,
SM03,21.0,21.0,,1.0,1.0,UP-5,
SM03,21.0,21.0,,1.0,1.0,UP-7,
SM03,21.0,21.0,,1.0,1.0,BIG-BAG,
SM03,21.0,21.0,,1.0,1.0,EKO-1200,
SM03,21.0,21.0,,1.0,1.0,EKO-1500,
SM03,21.0,21.0,,1.0,1.0,EKO-2500,
SM03,21.0,21.0,,1.0,1.0,KP-12,
SM03,21.0,21.0,,1.0,1.0,KP-15,
SM03,21.0,21.0,,1.0,1.0,KP-20,
SM03,21.0,21.0,,1.0,1.0,KP-34,
SM03,21.0,21.0,,1.0,1.0,KP-4,
SM03,21.0,21.0,,1.0,1.0,KP-5,
SM03,21.0,21.0,,1.0,1.0,KP-7,
SM03,21.0,21.0,,1.0,1.0,KP-7 ZAK,
SM03,21.0,21.0,,1.0,1.0,MPC-5,
