Typ_pojemnika;PoliczOfTyp pojemnika;Pojemnosc;Typ;Typ_wlasciwy;Komentarz
BIG-BAG;25;;BigBag;BIG-BAG;
BIODOPADY;20;;worek;worek brazowy;
EKO-1200P;6;1200.0;dzwon;EKO-1200;
EKO-1200S;8;1200.0;dzwon;EKO-1200;
EKO-1200T;5;1200.0;dzwon;EKO-1200;
EKO-1500P;8;1500.0;dzwon;EKO-1500;
EKO-1500S;24;1500.0;dzwon;EKO-1500;
EKO-1500T;8;1500.0;dzwon;EKO-1500;
EKO-2500P;12;2500.0;dzwon;EKO-2500;
EKO-2500S;16;2500.0;dzwon;EKO-2500;
EKO-2500T;22;2500.0;dzwon;EKO-2500;
HARMONGRAM KP4;2;4000.0;kontener;KP-5;
HARMONOGRAM KP4;2;4000.0;kontener;KP-4;
HARMONOGRAM KP5;2;5000.0;kontener;KP-5;
HARMONOGRAM KP7;40;7000.0;kontener;KP-7;
HARMONOGRAM MPC;2;;prasokontener;;
HARMONOGRAMKP15;6;15000.0;kontener;KP-15;
HARMONOGRAMKP34;2;34000.0;kontener;KP-34;
KOMUN;68;;worek;;
KP- 7;20;7000.0;kontener;KP-7;
KP-12;4;12000.0;kontener;KP-12;
KP-15;32;15000.0;kontener;KP-15;
KP-20;6;20000.0;kontener;KP-20;
KP-34;29;34000.0;kontener;KP-34;
KP-4;15;4000.0;kontener;KP-4;
KP-5;27;5000.0;kontener;KP-5;
KP-7;325;7000.0;kontener;KP-7;
KP-7 ZAK;39;7000.0;kontener;KP-7;zakryty
KP-7 ZAK_B;5;7000.0;kontener;KP-7;zakryty
KP-7.;5;7000.0;kontener;KP-7;zakryty
KP-7B;4;7000.0;kontener;KP-7;zakryty spr
L-1100;2;1100.0;pojemnik;L-1100;
L-1100B;78;1100.0;pojemnik;L-1100;
L-1100K;1820;1100.0;pojemnik;L-1100;
L-1100P;726;1100.0;pojemnik;L-1100;
L-1100S;57;1100.0;pojemnik;L-1100;
L-1100T;824;1100.0;pojemnik;L-1100;
L-120;7;120.0;pojemnik;L-120;
L-120B;148;120.0;pojemnik;L-120;
L-120K;18467;120.0;pojemnik;L-120;
L-120P;232;120.0;pojemnik;L-120;
L-120S;251;120.0;pojemnik;L-120;
L-120T;280;120.0;pojemnik;L-120;
L-240B;259;240.0;pojemnik;L-240;
L-240K;2990;240.0;pojemnik;L-240;
L-240P;219;240.0;pojemnik;L-240;
L-240S;350;240.0;pojemnik;L-240;
L-240T;246;240.0;pojemnik;L-240;
L3500;1;;błąd;;
L-360B;1;360.0;pojemnik;L-360;
L-360K;34;360.0;pojemnik;L-360;
L-360P;8;360.0;pojemnik;L-360;
L-360S;1;360.0;pojemnik;L-360;
L-660B;2;660.0;pojemnik;L-660;
L-660K;10;660.0;pojemnik;L-660;
L-660P;11;660.0;pojemnik;L-660;
L-660S;5;660.0;pojemnik;L-660;
L-660T;14;660.0;pojemnik;L-660;
L-700K;7;770.0;błąd;;
L-770B;7;770.0;pojemnik;L-770;
L-770K;56;770.0;pojemnik;L-770;
L-770P;60;770.0;pojemnik;L-770;
L-770S;7;770.0;pojemnik;L-770;
L-770T;46;770.0;pojemnik;L-770;
MGB120;11;120.0;pojemnik;L-120;
MPC 5;3;5000.0;prasokontener;MPC-5;
MPC-10;3;1000.0;prasokontener;MPC-10;
MPC-20;7;2000.0;prasokontener;MPC-20;
PALETY;20;;palety;;
PAPIER;19438;;worek;;
SZKŁO;19463;;worek;;
TWORZYWA;19467;;worek;;
UP-2,5K;3;2500.0;UP;UP-2.5;
UP-2,5P;6;2500.0;UP;UP-2.5;
UP-2,5T;3;2500.0;UP;UP-2.5;
UP-5.K;50;5000.0;UP;UP-5;
UP-5.P;34;5000.0;UP;UP-5;
UP-5.T;19;5000.0;UP;UP-5;
UP-7.T;6;7000.0;UP;UP-7;
UP-7K;66;7000.0;UP;UP-7;
UP-7P;34;7000.0;UP;UP-7;
UP-7T;17;7000.0;UP;UP-7;
ZIELEŃ;18533;;worek;;
