full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-800, Pruszków, Andrzeja, 14",52.161736,20.819662,495.0,BWC,05-800,Pruszków,Andrzeja,14.0,1.0,200108_200201_200301,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_200108_200201_200301,1
"Poland, 05-825, Adamowizna, Niedźwiedzia, 13",52.0771,20.62381,495.0,BRB,05-825,Adamowizna,Niedźwiedzia,13.0,1.0,200108_200201_200301,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_200108_200201_200301,1
"Poland, 05-840, Brwinów, Józefa Ignacego Kraszewskiego, 20",52.135788,20.72227,495.0,BHB,05-840,Brwinów,Józefa Ignacego Kraszewskiego,20.0,1.0,200108_200201_200301,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_200108_200201_200301,1
"Poland, 02-945, Warszawa, Posag 7 Panien, 18",52.20434,20.878693,495.0,BWB,02-945,Warszawa,Posag 7 Panien,18.0,1.0,200108_200201_200301,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_200108_200201_200301,1
"Poland, 01-747, Warszawa, Powązkowska, 17",52.258537,20.96265,495.0,BWA,01-747,Warszawa,Powązkowska,17.0,1.0,200108_200201_200301,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1Cz,1Cz_B_200108_200201_200301,1
"Poland, 02-384, Warszawa, Włodarzewska, 27",52.20206,20.956127,495.0,BWA,02-384,Warszawa,Włodarzewska,27.0,1.0,200108_200201_200301,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1Cz,1Cz_B_200108_200201_200301,1
"Poland, 05-807, Żółwin, Wiktorii, 32",52.09901,20.734884,495.0,BHC,05-807,Żółwin,Wiktorii,32.0,1.0,200108_200201_200301,1 i 3 czwartek,2 razy w miesiącu,"1, 3",Cz,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Cz,1Cz_B_200108_200201_200301,1
"Poland, 05-827, Grodzisk Mazowiecki, Bairda, 17",52.112007,20.643478,108.0,BRC,05-827,Grodzisk Mazowiecki,Bairda,17.0,1.0,200108_200201_200301,1 i 3 czwartek,2 razy w miesiącu,"1, 3",Cz,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Cz,1Cz_B_200108_200201_200301,1
"Poland, 05-825, Grodzisk Mazowiecki, Gen. Orlicz Dreszera, 33",52.09284,20.58528,495.0,BRA,05-825,Grodzisk Mazowiecki,Gen. Orlicz Dreszera,33.0,1.0,200108_200201_200301,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_200108_200201_200301,1
"Poland, 02-497, Warszawa, AL.Jerozolimskie, 8",52.232628,21.023415,495.0,BWA,02-497,Warszawa,AL.Jerozolimskie,8.0,1.0,200108_200201_200301,poniedziałek wtorek środa czwartek piątek,5 razy w tygodniu,"1, 2, 3, 4","Pn, Wt, Sr, Cz, Pt",0.0,0.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1Cz,1Cz_B_200108_200201_200301,1
