full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-820, Piastów, Sułkowskiego, 27",52.189156,20.832811,64.80000000000001,BWC,05-820,Piastów,Sułkowskiego,27.0,1.0,150101_200201,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Wt,1Wt_B_150101_200201,1
"Poland, 05-850, Koprki, Jaśminowa, 11",52.21396,20.74594,297.0,BHC,05-850,Koprki,Jaśminowa,11.0,1.0,150101_200201,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1Wt,1Wt_B_150101_200201,1
"Poland, 05-800, Brwinów, Kościelna, 28",52.146305,20.715826,297.0,BHC,05-800,Brwinów,Kościelna,28.0,1.0,150101_200201,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Wt,1Wt_B_150101_200201,1
"Poland, 05-822, Milanówek, Konopnickiej, 26",52.12354,20.695957,64.80000000000001,BRC,05-822,Milanówek,Konopnickiej,26.0,1.0,150101_200201,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Wt,1Wt_B_150101_200201,1
"Poland, 96-300, Żyrardów, Al.Partyzantów, 15",52.05632,20.444292,32.400000000000006,BRC,96-300,Żyrardów,Al.Partyzantów,15.0,1.0,150101_200201,1 wtorek,1 raz w miesiącu,1,Wt,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Wt,1Wt_B_150101_200201,1
"Poland, 05-825, Chrzanów Mały, Pączkowa, 30",52.1398,20.626043,32.400000000000006,BRC,05-825,Chrzanów Mały,Pączkowa,30.0,1.0,150101_200201,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Wt,1Wt_B_150101_200201,1
"Poland, 05-805, Otrębusy, Krzywa, 12",52.132084,20.756886,32.400000000000006,BHC,05-805,Otrębusy,Krzywa,12.0,1.0,150101_200201,1 wtorek,1 raz w miesiącu,1,Wt,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Wt,1Wt_B_150101_200201,1
"Poland, 05-807, Kanie, Piłsudskiego, 26",52.134598,20.772764,32.400000000000006,BHB,05-807,Kanie,Piłsudskiego,26.0,1.0,150101_200201,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Wt,1Wt_B_150101_200201,1
"Poland, 05-806 , Komorów, Marii Dabrowskiej, 25",52.145943,20.82261,297.0,BHC,05-806 ,Komorów,Marii Dabrowskiej,25.0,1.0,150101_200201,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1Wt,1Wt_B_150101_200201,1
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
