full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-220, Warszawa, Łopuszańska, 9",52.190487,20.955818,1890.0000000000002,BWA,02-220,Warszawa,Łopuszańska,9.0,1.0,150101_200201,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201,1
"Poland, 02-486, Warszawa, Al. Jerozolimskie, 22",52.21203,20.951336,297.0,BWC,02-486,Warszawa,Al. Jerozolimskie,22.0,1.0,150101_200201,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201,1
"Poland, 02-147, Warszawa, Paluch, 26",52.151623,20.968367,297.0,BWB,02-147,Warszawa,Paluch,26.0,1.0,150101_200201,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201,1
"Poland, 05-090, Falenty, Aleja Hrabska, 5",52.139755,20.921045,297.0,BWC,05-090,Falenty,Aleja Hrabska,5.0,1.0,150101_200201,2 czwartek,1 raz w miesiącu,2,Cz,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Cz,2Cz_B_150101_200201,1
"Poland, 05-090, Raszyn, Al.Krakowska, 5",52.151615,20.916977,297.0,BWB,05-090,Raszyn,Al.Krakowska,5.0,1.0,150101_200201,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201,1
"Poland, 02-219, Warszawa, Al. Krakowska, 22",52.165634,20.933561,297.0,BWB,02-219,Warszawa,Al. Krakowska,22.0,1.0,150101_200201,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201,1
"Poland, 02-273 , Warszawa, Muszkieterów, 15",52.178757,20.937292,297.0,BWC,02-273 ,Warszawa,Muszkieterów,15.0,1.0,150101_200201,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201,1
"Poland, 05-800, Pruszków, Parzniewska, 12",52.16929,20.76037,54.0,BHA,05-800,Pruszków,Parzniewska,12.0,1.0,150101_200201,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201,1
"Poland, 05-830, Urzut, Sosenki, 19",52.069965,20.741447,32.400000000000006,BHC,05-830,Urzut,Sosenki,19.0,1.0,150101_200201,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201,1
