full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-816, Opacz Kolonia, Spisaka, 33",52.18727,20.884184,495.0,BRA,05-816,Opacz Kolonia,Spisaka,33.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 05-830, Szamoty, Orłów, 29",52.06331,20.842394,495.0,BHC,05-830,Szamoty,Orłów,29.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 05-825, Grodzisk Mazowiecki, Kresowa, 8",52.10179,20.61119,108.0,BRC,05-825,Grodzisk Mazowiecki,Kresowa,8.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 05-825, Marynin, Partyzantów AK, 24",52.070354,20.700409,495.0,BHA,05-825,Marynin,Partyzantów AK,24.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 96-320 , Mszczonów, Pogorzałki, 20",51.976665,20.553612,495.0,BRA,96-320 ,Mszczonów,Pogorzałki,20.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 96-313, Jaktorów, Błotna, 6",52.087147,20.549719,495.0,BRC,96-313,Jaktorów,Błotna,6.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 96-300, Żyrardów, Ossowskiego, 34",52.058853,20.447636,54.0,BRC,96-300,Żyrardów,Ossowskiego,34.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 96-317, Guzów, Michała Ogińskiego, 32",52.128056,20.329884,495.0,BRC,96-317,Guzów,Michała Ogińskiego,32.0,1.0,200108_200201_200301,2 piątek,1 raz w miesiącu,2,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 96-313, Jaktorów, Pomorska, 23",52.08895,20.549437,495.0,BRC,96-313,Jaktorów,Pomorska,23.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 96-313, Jaktorów, Generała Skokowskiego, 27",52.084724,20.543743,495.0,BRB,96-313,Jaktorów,Generała Skokowskiego,27.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 05-830, Nadarzyn, Turystyczna, 12",52.09915,20.81017,54.0,BHC,05-830,Nadarzyn,Turystyczna,12.0,1.0,200108_200201_200301,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
"Poland, 02-497, Warszawa, AL.Jerozolimskie, 8",52.232628,21.023415,495.0,BWA,02-497,Warszawa,AL.Jerozolimskie,8.0,1.0,200108_200201_200301,poniedziałek wtorek środa czwartek piątek,5 razy w tygodniu,"1, 2, 3, 4","Pn, Wt, Sr, Cz, Pt",0.0,0.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2Pt,2Pt_B_200108_200201_200301,1
