full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-506, Kolonia Lesznowola, Postępu, 21",52.08124,20.967798,495.0,BWC,05-506,Kolonia Lesznowola,Postępu,21.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-503, Głosków, Korczunkowa, 25",52.025276,20.945322,495.0,BWC,05-503,Głosków,Korczunkowa,25.0,1.0,200108_200201_200301,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-500, Nowa Iwiczna, Niezapominajki, 32",52.092106,21.00088,108.0,BWC,05-500,Nowa Iwiczna,Niezapominajki,32.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-500, Nowa Iwiczna, Krasickiego, 29",52.09081,21.004425,108.0,BWC,05-500,Nowa Iwiczna,Krasickiego,29.0,1.0,200108_200201_200301,2 środa,1 raz w miesiącu,2,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-506, Magdalenka, Modrzewiowa, 29",52.09679,20.905462,54.0,BWC,05-506,Magdalenka,Modrzewiowa,29.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-850, Jawczyce, Sadowa, 16",52.211105,20.847366,495.0,BHA,05-850,Jawczyce,Sadowa,16.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 96-314, Baranów, Północna, 24",51.55905,22.139217,495.0,BRA,96-314,Baranów,Północna,24.0,1.0,200108_200201_200301,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-555, Kotorydz, Piaseczyńska, 27",51.993332,20.873608,108.0,BHC,05-555,Kotorydz,Piaseczyńska,27.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-555, Wola Przypkowska, Piękna, 12",52.009354,20.838774,495.0,BHC,05-555,Wola Przypkowska,Piękna,12.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-500, Mysiadło, Słowicza, 31",52.099796,21.02394,108.0,BWC,05-500,Mysiadło,Słowicza,31.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-500, Stara Iwiczna, Mleczarska, 14",52.085823,21.013918,108.0,BWC,05-500,Stara Iwiczna,Mleczarska,14.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-504, Runów, Solidarności, 23",52.00581,20.94256,495.0,BWC,05-504,Runów,Solidarności,23.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 01-267, Warszawa, Jana Kazimierza, 18",52.225323,20.946041,495.0,BWA,01-267,Warszawa,Jana Kazimierza,18.0,1.0,200108_200201_200301,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 96-320 , Mszczonów, Ługowa, 28",51.969975,20.527449,3150.0,BRA,96-320 ,Mszczonów,Ługowa,28.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 96-320, Grabce-Towarzystwo, Żukowska, 34",51.98411,20.46107,495.0,BRC,96-320,Grabce-Towarzystwo,Żukowska,34.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 96-325, Radziejowice, Mszczonowska, 28",51.997276,20.551939,495.0,BRB,96-325,Radziejowice,Mszczonowska,28.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 96-315, Cyganka, Francuska, 17",52.09631,20.368074,3150.0,BRA,96-315,Cyganka,Francuska,17.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-870, Radonice, Radonice, 8",52.168976,20.610931,495.0,BRC,05-870,Radonice,Radonice,8.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-825, Urszulin, Legionistów, 33",52.07224,20.721462,108.0,BRA,05-825,Urszulin,Legionistów,33.0,1.0,200108_200201_200301,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-830, Strzeniówka, Dzikiej Róży, 6",52.119,20.7982,108.0,BHC,05-830,Strzeniówka,Dzikiej Róży,6.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-552, Łazy, Muzyczna, 12",52.072853,20.89282,54.0,BWC,05-552,Łazy,Muzyczna,12.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 02-830, Warszawa, Mazura, 14",52.14122,21.007748,495.0,BRB,02-830,Warszawa,Mazura,14.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 00-021, Warszawa, Chmielna, 10",52.23335,21.01766,495.0,BWB,00-021,Warszawa,Chmielna,10.0,1.0,200108_200201_200301,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 00-710, Warszawa, Idzikowskiego, 17",52.1884,21.031473,108.0,BWA,00-710,Warszawa,Idzikowskiego,17.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-870, Błonie, Sochaczewska, 31",52.198315,20.610704,3150.0,BRB,05-870,Błonie,Sochaczewska,31.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-830, Stara Wieś, Głogowa, 33",52.091427,20.773756,54.0,BHB,05-830,Stara Wieś,Głogowa,33.0,1.0,200108_200201_200301,2 środa,1 raz w miesiącu,2,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 96-300, Słabomierz, Żyrardowska, 24",52.010654,20.482672,495.0,BRC,96-300,Słabomierz,Żyrardowska,24.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 96-320 , Mszczonów, Księcia Ziemowita, 27",51.970005,20.505968,495.0,BRC,96-320 ,Mszczonów,Księcia Ziemowita,27.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-500, Nowa Iwiczna, Kielecka, 25",52.085606,20.99315,495.0,BWC,05-500,Nowa Iwiczna,Kielecka,25.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 02-497, Warszawa, AL.Jerozolimskie, 8",52.232628,21.023415,495.0,BWA,02-497,Warszawa,AL.Jerozolimskie,8.0,1.0,200108_200201_200301,poniedziałek wtorek środa czwartek piątek,5 razy w tygodniu,"1, 2, 3, 4","Pn, Wt, Sr, Cz, Pt",0.0,0.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 03-301, Warszawa, Jagiellońska, 33",52.266785,21.020367,495.0,BWB,03-301,Warszawa,Jagiellońska,33.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 02-164, Warszawa, Canaletta, 33",52.242992,21.007631,495.0,BWC,02-164,Warszawa,Canaletta,33.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Poland, 05-503, Mieszkowo, Malinowa, 8",52.04571,20.90233,495.0,BWC,05-503,Mieszkowo,Malinowa,8.0,1.0,200108_200201_200301,2 środa,1 raz w miesiącu,2,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,1
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
