full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-830, Stara Wieś, Tarniny, 15",52.09198,20.769014,247.5,BHB,05-830,Stara Wieś,Tarniny,15.0,1.0,150102_150106_150104_200139,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_150102_150106_150104_200139,1
"Poland, 05-850, Ożarów Mazowiecki, Strzykulska, 23",52.220905,20.812931,247.5,BHC,05-850,Ożarów Mazowiecki,Strzykulska,23.0,1.0,150102_150106_150104_200139,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_150102_150106_150104_200139,1
"Poland, 02-445, Warszawa, Parowcowa, 25",52.212765,20.916985,54.0,BWC,02-445,Warszawa,Parowcowa,25.0,1.0,150102_150106_150104_200139,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_150102_150106_150104_200139,1
"Poland, 01-702, Warszawa, Płaskowickiej, 15",52.2448,20.930508,247.5,BWB,01-702,Warszawa,Płaskowickiej,15.0,1.0,150102_150106_150104_200139,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_150102_150106_150104_200139,1
"Poland, 00-215, Warszawa, Dolańskiego, 12",52.25348,21.001333,54.0,BWA,00-215,Warszawa,Dolańskiego,12.0,1.0,150102_150106_150104_200139,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_150102_150106_150104_200139,1
"Poland, 00-252, Warszawa, Podwale, 14",52.24806,21.010683,27.0,BWA,00-252,Warszawa,Podwale,14.0,1.0,150102_150106_150104_200139,2 wtorek,1 raz w miesiącu,2,Wt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_150102_150106_150104_200139,1
"Poland, 00-054, Warszawa, Jasna, 17",52.236286,21.010223,54.0,BWB,00-054,Warszawa,Jasna,17.0,1.0,150102_150106_150104_200139,wtorek piątek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Pt",0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2Wt,2Wt_B_150102_150106_150104_200139,1
"Poland, 00-728, Warszawa, Bobrowiecka, 11",52.201656,21.045366,247.5,BWA,00-728,Warszawa,Bobrowiecka,11.0,1.0,150102_150106_150104_200139,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_150102_150106_150104_200139,1
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
