full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-863, Warszawa, Jeziorki, 14",52.12627,21.00102,495.0,BWB,02-863,Warszawa,Jeziorki,14.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 02-785, Warszawa, Puszczyka, 29",52.16139,21.021452,346.5,BWC,02-785,Warszawa,Puszczyka,29.0,1.0,200108_200201_200301,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 02-384, Warszawa, Włodarzewska, 27",52.20206,20.956127,495.0,BWA,02-384,Warszawa,Włodarzewska,27.0,1.0,200108_200201_200301,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 02-497, Warszawa, AL.Jerozolimskie, 8",52.232628,21.023415,495.0,BWA,02-497,Warszawa,AL.Jerozolimskie,8.0,1.0,200108_200201_200301,poniedziałek wtorek środa czwartek piątek,5 razy w tygodniu,"1, 2, 3, 4","Pn, Wt, Sr, Cz, Pt",0.0,0.0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 00-507, Warszawa, Bokserska, 25",52.16753,21.005262,3150.0,BWC,00-507,Warszawa,Bokserska,25.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 02-025, Warszawa, Plac Zawiszy, 5",52.22479,20.988697,54.0,BWA,02-025,Warszawa,Plac Zawiszy,5.0,2.0,200108_200201_200301, P - - C - - - 1 2 3 4 5 O,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-503, Głosków, Korczunkowa, 25",52.025276,20.945322,495.0,BWC,05-503,Głosków,Korczunkowa,25.0,1.0,200108_200201_200301,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Jana Pawła II, 9",52.07501,21.024149,495.0,BWC,05-500 ,Piaseczno,Jana Pawła II,9.0,1.0,200108_200201_200301,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Orzechowa, 20",52.054882,20.92537,495.0,BWC,05-500 ,Piaseczno,Orzechowa,20.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-502, Wólka Kozodawska, Szczęśliwa, 27",52.034554,21.016123,54.0,BWC,05-502,Wólka Kozodawska,Szczęśliwa,27.0,1.0,200108_200201_200301,3 poniedziałek,1 raz w miesiącu,3,Pn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 01-377, Warszawa, Połczyńska, 11",52.222073,20.924955,495.0,BWA,01-377,Warszawa,Połczyńska,11.0,1.0,200108_200201_200301,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 01-014, Warszawa, Żytnia, 13",52.239292,20.981764,495.0,BWA,01-014,Warszawa,Żytnia,13.0,1.0,200108_200201_200301,poniedziałek wtorek czwartek piątek,4 razy w tygodniu,"1, 2, 3, 4","Pn, Wt, Cz, Pt",0.0,0.0,16.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Julianowska, 21",51.954105,21.098457,108.0,BWC,05-500 ,Piaseczno,Julianowska,21.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
