full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 01-891, Warszawa, Staffa, 7",52.27346,20.960533,108.0,BWB,01-891,Warszawa,Staffa,7.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 05-552, Łazy, Wiejska, 11",52.083668,20.892775,297.0,BWC,05-552,Łazy,Wiejska,11.0,1.0,150101_200201,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 05-552, Łazy, Wąska, 10",52.08948,20.876467,32.400000000000006,BWB,05-552,Łazy,Wąska,10.0,1.0,150101_200201,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, , Wólka Kosowska, Wesoła, 25",52.0617,20.84746,1350.0,BHB,,Wólka Kosowska,Wesoła,25.0,1.0,150101_200201,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 96-321, Żelechów, Juliusza Kossaka, 31",52.023098,20.730791,64.80000000000001,BHC,96-321,Żelechów,Juliusza Kossaka,31.0,1.0,150101_200201,3 środa,1 raz w miesiącu,3,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 96-321, Nowa Bukówka, Skulska, 11",52.021843,20.654217,675.0,BRB,96-321,Nowa Bukówka,Skulska,11.0,1.0,150101_200201,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 96-320, Mszczonów, Tarczyńska, 20",51.97393,20.527374,297.0,BRA,96-320,Mszczonów,Tarczyńska,20.0,1.0,150101_200201,3 środa,1 raz w miesiącu,3,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 96-300, Wręcza, Nowy Świat, 26",51.99724,20.463785,297.0,BRA,96-300,Wręcza,Nowy Świat,26.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 96-320 , Mszczonów, Keramzytowa, 20",51.9851,20.51547,54.0,BRA,96-320 ,Mszczonów,Keramzytowa,20.0,1.0,150101_200201,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 02-676, Warszawa, Suwak, 12",52.180912,20.991346,297.0,BWA,02-676,Warszawa,Suwak,12.0,1.0,150101_200201,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 05-552, Łazy, Przyszłości, 10",52.074112,20.875202,297.0,BWC,05-552,Łazy,Przyszłości,10.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 05-825, Książenice, Marylskiego, 16",52.07091,20.695702,297.0,BRC,05-825,Książenice,Marylskiego,16.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
"Poland, 96-321, Wycinki Osowskie, Międzynarodowa, 7",52.04198,20.6542,32.400000000000006,BRC,96-321,Wycinki Osowskie,Międzynarodowa,7.0,1.0,150101_200201,3 środa,1 raz w miesiącu,3,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1
