full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-500, Stara Iwiczna, Nowa, 30",52.085205,20.99474,1575.0,BRA,05-500,Stara Iwiczna,Nowa,30.0,1.0,150102_150106_150104_200139,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4Pn,4Pn_B_150102_150106_150104_200139,1
"Poland, 02-507, Warszawa, Obywatelska, 17",52.208923,20.89574,54.0,BRB,02-507,Warszawa,Obywatelska,17.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_150102_150106_150104_200139,1
"Poland, 05-850, Jawczyce, Wspólna Droga, 11",52.208084,20.852299,54.0,BHC,05-850,Jawczyce,Wspólna Droga,11.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_150102_150106_150104_200139,1
"Poland, 05-850, Duchnice, Ożarowska, 27",52.19306,20.79739,247.5,BHC,05-850,Duchnice,Ożarowska,27.0,1.0,150102_150106_150104_200139,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_150102_150106_150104_200139,1
"Poland, 05-850, Bronisze, Piastowska, 23",52.21153,20.839943,247.5,BRB,05-850,Bronisze,Piastowska,23.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_150102_150106_150104_200139,1
"Poland, , Konotopa, Fiołkowa, 23",52.197853,20.849905,27.0,BWC,,Konotopa,Fiołkowa,23.0,1.0,150102_150106_150104_200139,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_150102_150106_150104_200139,1
"Poland, 02-495, Warszawa, Ryżowa, 22",52.19743,20.911621,1125.0,BWB,02-495,Warszawa,Ryżowa,22.0,1.0,150102_150106_150104_200139,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_150102_150106_150104_200139,1
"Poland, 96-300, Żyrardów, Jaktorowska, 32",52.05135,20.45602,247.5,BRA,96-300,Żyrardów,Jaktorowska,32.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_150102_150106_150104_200139,1
"Poland, 96-325, Kuklówka Zarzeczna, Józefa Chełmońskiego, 19",52.042904,20.601809,27.0,BRC,96-325,Kuklówka Zarzeczna,Józefa Chełmońskiego,19.0,1.0,150102_150106_150104_200139,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_150102_150106_150104_200139,1
