full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-500, Żabieniec, Asfaltowa, 21",52.05866,21.047533,27.0,BWC,05-500,Żabieniec,Asfaltowa,21.0,1.0,150102_150106_150104_200139,4 środa,1 raz w miesiącu,4,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500, Chylice, Sielska, 15",52.07184,21.056616,54.0,BWC,05-500,Chylice,Sielska,15.0,1.0,150102_150106_150104_200139,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500, Józefosław, Wilanowska, 8",52.09782,21.042936,247.5,BWB,05-500,Józefosław,Wilanowska,8.0,1.0,150102_150106_150104_200139,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500 , Piaseczno, Techniczna, 19",52.079464,21.037477,54.0,BWB,05-500 ,Piaseczno,Techniczna,19.0,1.0,150102_150106_150104_200139,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500 , Piaseczno, Okulickiego, 33",52.081688,21.015324,54.0,BWC,05-500 ,Piaseczno,Okulickiego,33.0,1.0,150102_150106_150104_200139,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500, Stara Iwiczna, Nowa, 30",52.085205,20.99474,1575.0,BRA,05-500,Stara Iwiczna,Nowa,30.0,1.0,150102_150106_150104_200139,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500, Jazgarzew, Górna, 29",52.037582,20.988329,54.0,BWC,05-500,Jazgarzew,Górna,29.0,1.0,150102_150106_150104_200139,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-830, Wolica, Sękocińska, 24",52.116257,20.869379,1125.0,BHA,05-830,Wolica,Sękocińska,24.0,1.0,150102_150106_150104_200139,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-506, Władysławów, Żwirowa, 26",52.068428,20.951046,27.0,BWC,05-506,Władysławów,Żwirowa,26.0,1.0,150102_150106_150104_200139,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
