full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-822, Milanówek, Królewska, 27",52.125065,20.68905,247.5,BRA,05-822,Milanówek,Królewska,27.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 05-830, Nadarzyn, Żółwińska, 32",52.096,20.791082,247.5,BHC,05-830,Nadarzyn,Żółwińska,32.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 05-831, Młochów, Ks. Bronisława Markiewicza, 17",52.047977,20.784113,27.0,BHB,05-831,Młochów,Ks. Bronisława Markiewicza,17.0,1.0,150102_150106_150104_200139,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 05-831, Krakowiany, Młynowa, 25",52.018715,20.775948,54.0,BHC,05-831,Krakowiany,Młynowa,25.0,1.0,150102_150106_150104_200139,1 poniedziałek,1 raz w miesiącu,1,Pn,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 05-850, Bronisze, Piastowska, 23",52.21153,20.839943,247.5,BRB,05-850,Bronisze,Piastowska,23.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 05-500, Stara Iwiczna, Nowa, 30",52.085205,20.99474,1575.0,BRA,05-500,Stara Iwiczna,Nowa,30.0,1.0,150102_150106_150104_200139,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 05-830, Rusiec, Al.Katowicka, 32",52.0799,20.788637,1125.0,BHB,05-830,Rusiec,Al.Katowicka,32.0,1.0,150102_150106_150104_200139,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-321, Grzymek, Spacerowa, 26",52.02121,20.625927,54.0,BRC,96-321,Grzymek,Spacerowa,26.0,1.0,150102_150106_150104_200139,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-325, Tartak Brzózki, Letniskowa, 25",52.018997,20.521746,247.5,BRB,96-325,Tartak Brzózki,Letniskowa,25.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-300, Żyrardów, Skrowaczewskiego, 20",52.06744,20.438774,247.5,BRA,96-300,Żyrardów,Skrowaczewskiego,20.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-300, Żyrardów, Stanisława Moniuszki, 33",52.056282,20.449331,247.5,BRC,96-300,Żyrardów,Stanisława Moniuszki,33.0,1.0,150102_150106_150104_200139,1 poniedziałek,1 raz w miesiącu,1,Pn,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-314, Baranów, Południowa, 14",52.166096,20.447226,247.5,BRA,96-314,Baranów,Południowa,14.0,1.0,150102_150106_150104_200139,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-315, Wiskitki, Guzowska, 15",52.089985,20.368587,247.5,BRA,96-315,Wiskitki,Guzowska,15.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-300, Żyrardów, Jaktorowska, 32",52.05135,20.45602,247.5,BRA,96-300,Żyrardów,Jaktorowska,32.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-321, Bieniewiec, Zagrodowa, 30",52.02471,20.627518,27.0,BRC,96-321,Bieniewiec,Zagrodowa,30.0,1.0,150102_150106_150104_200139,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1.0,1Pn_B_150102_150106_150104_200139,1
