full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-500 , Piaseczno, Aleja Lipowa, 20",52.054897,21.00127,64.80000000000001,BWC,05-500 ,Piaseczno,Aleja Lipowa,20.0,1.0,150101_200201,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150101_200201,1.0,1Pt_B_150101_200201,1
"Poland, 02-219, Warszawa, Janowskiego, 20",52.153378,21.020927,297.0,BWC,02-219,Warszawa,Janowskiego,20.0,1.0,150101_200201,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150101_200201,1.0,1Pt_B_150101_200201,1
"Poland, 05-830, Nadarzyn, Bukowa, 15",52.106403,20.797876,207.9,UP,05-830,Nadarzyn,Bukowa,15.0,1.0,150101_200201,1 czwartek,1 raz w miesiącu,1,Cz,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Cz,1Cz_UP_150101_200201,1.0,1Pt_B_150101_200201,1
"Poland, 05-825, Grodzisk Mazowiecki, Cieszyńska, 30",52.12044,20.630886,1890.0000000000002,BRB,05-825,Grodzisk Mazowiecki,Cieszyńska,30.0,1.0,150101_200201,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150101_200201,1.0,1Pt_B_150101_200201,1
"Poland, 05-825, Grodzisk Mazowiecki, Szczęsna, 24",52.096153,20.646536,297.0,BRC,05-825,Grodzisk Mazowiecki,Szczęsna,24.0,1.0,150101_200201,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150101_200201,1.0,1Pt_B_150101_200201,1
"Poland, 05-825, Grodzisk Mazowiecki, Transportowa, 23",52.119946,20.623034,32.400000000000006,BRA,05-825,Grodzisk Mazowiecki,Transportowa,23.0,1.0,150101_200201,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150101_200201,1.0,1Pt_B_150101_200201,1
"Poland, 05-825, Grodzisk Mazowiecki, 11 Listopada, 12",52.10642,20.622473,32.400000000000006,BRC,05-825,Grodzisk Mazowiecki,11 Listopada,12.0,1.0,150101_200201,1 piątek,1 raz w miesiącu,1,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pt,1Pt_B_150101_200201,1.0,1Pt_B_150101_200201,1
"Poland, 05-830, Nadarzyn, Pl. Poniatowskiego, 26",52.092827,20.806133,54.0,BHB,05-830,Nadarzyn,Pl. Poniatowskiego,26.0,1.0,150101_200201,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1Pt,1Pt_B_150101_200201,1.0,1Pt_B_150101_200201,1
"Poland, 05-816, Reguły, Kuchy, 23",52.168404,20.864464,178.20000000000002,PH,05-816,Reguły,Kuchy,23.0,1.0,150101_200201,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1Wt,1Wt_P_150101_200201,1.0,1Pt_B_150101_200201,1
