full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-863, Warszawa, Jeziorki, 14",52.12627,21.00102,495.0,BWB,02-863,Warszawa,Jeziorki,14.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Pod Bateriami, 18",52.05335,21.00346,108.0,BWB,05-500 ,Piaseczno,Pod Bateriami,18.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Orzechowa, 20",52.054882,20.92537,495.0,BWC,05-500 ,Piaseczno,Orzechowa,20.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 05-500, Stara Iwiczna, Mleczarska, 14",52.085823,21.013918,108.0,BWC,05-500,Stara Iwiczna,Mleczarska,14.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 05-090, Janki, Godebskiego, 10",52.12995,20.902058,495.0,BHC,05-090,Janki,Godebskiego,10.0,1.0,200108_200201_200301,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301,1
"Poland, 05-500, Mysiadło, Słowicza, 31",52.099796,21.02394,108.0,BWC,05-500,Mysiadło,Słowicza,31.0,1.0,200108_200201_200301,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 02-665, Warszawa, Al. Wilanowska, 21",52.17938,21.02097,495.0,BWA,02-665,Warszawa,Al. Wilanowska,21.0,1.0,200108_200201_200301,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 05-500, Nowa Iwiczna, Krasickiego, 29",52.09081,21.004425,108.0,BWC,05-500,Nowa Iwiczna,Krasickiego,29.0,1.0,200108_200201_200301,2 środa,1 raz w miesiącu,2,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 05-506, Kolonia Lesznowola, Postępu, 21",52.08124,20.967798,495.0,BWC,05-506,Kolonia Lesznowola,Postępu,21.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 05-500, Siedliska, Mostowa, 16",52.060818,21.041737,346.5,BWC,05-500,Siedliska,Mostowa,16.0,1.0,200108_200201_200301,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 96-300, Żyrardów, Polskiej Organizacji Wojskowej, 8",52.052406,20.446777,54.0,BRC,96-300,Żyrardów,Polskiej Organizacji Wojskowej,8.0,1.0,200108_200201_200301,2 poniedziałek,1 raz w miesiącu,2,Pn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 96-300, Żyrardów, Bohaterów Warszawy, 28",52.05431,20.450512,297.0,BRB,96-300,Żyrardów,Bohaterów Warszawy,28.0,1.0,200108_200201_200301,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 96-300, Żyrardów, Marii Nietrzebki, 26",52.07086,20.434465,108.0,BRC,96-300,Żyrardów,Marii Nietrzebki,26.0,1.0,200108_200201_200301,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Julianowska, 21",51.954105,21.098457,108.0,BWC,05-500 ,Piaseczno,Julianowska,21.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,1.0,2Pn_B_200108_200201_200301,1
"Poland, 05-504, Runów, Solidarności, 23",52.00581,20.94256,495.0,BWC,05-504,Runów,Solidarności,23.0,1.0,200108_200201_200301,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
"Poland, 05-503, Wola Gołkowska, Piesza, 30",52.050373,20.931604,495.0,BWC,05-503,Wola Gołkowska,Piesza,30.0,1.0,200108_200201_200301,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_200108_200201_200301,0.0,2Pn_B_200108_200201_200301,1
