full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.183426,21.085442,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-500, Józefosław, Wilanowska, 8",52.09782,21.042936,247.5,BWB,05-500,Józefosław,Wilanowska,8.0,1.0,150102_150106_150104_200139,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150102_150106_150104_200139,1.0,3Sr_B_150102_150106_150104_200139,1
"Poland, 05-090, Raszyn, Krucza, 26",52.15625,20.946768,247.5,BHC,05-090,Raszyn,Krucza,26.0,1.0,150102_150106_150104_200139,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150102_150106_150104_200139,1.0,3Sr_B_150102_150106_150104_200139,1
"Poland, 05-090, Jaworowa, Warszawska, 8",52.14668,20.943249,54.0,BWC,05-090,Jaworowa,Warszawska,8.0,1.0,150102_150106_150104_200139,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150102_150106_150104_200139,1.0,3Sr_B_150102_150106_150104_200139,1
"Poland, 05-090, Sękocin Las, Wierzbowa, 6",52.103634,20.890974,54.0,BHC,05-090,Sękocin Las,Wierzbowa,6.0,1.0,150102_150106_150104_200139,3 środa,1 raz w miesiącu,3,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150102_150106_150104_200139,1.0,3Sr_B_150102_150106_150104_200139,1
"Poland, 05-503, Robercin, Podskarbińska, 10",52.05963,20.927656,27.0,BWC,05-503,Robercin,Podskarbińska,10.0,1.0,150102_150106_150104_200139,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150102_150106_150104_200139,1.0,3Sr_B_150102_150106_150104_200139,1
"Poland, 05-506, Wilcza Góra, Gwiaździsta, 6",52.07003,20.949112,247.5,BWC,05-506,Wilcza Góra,Gwiaździsta,6.0,1.0,150102_150106_150104_200139,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150102_150106_150104_200139,1.0,3Sr_B_150102_150106_150104_200139,1
"Poland, 05-503,  Wola Gołkowska, Gościniec, 12",52.049698,20.935238,247.5,BWC,05-503, Wola Gołkowska,Gościniec,12.0,1.0,150102_150106_150104_200139,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150102_150106_150104_200139,1.0,3Sr_B_150102_150106_150104_200139,1
"Poland, 05-555, Tarczyn, Rynek, 14",51.980537,20.833431,54.0,BHC,05-555,Tarczyn,Rynek,14.0,1.0,150102_150106_150104_200139,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150102_150106_150104_200139,1.0,3Sr_B_150102_150106_150104_200139,1
"Poland, 05-552, Łazy, Kwiatowa, 9",52.07768,20.86986,54.0,BWC,05-552,Łazy,Kwiatowa,9.0,1.0,150102_150106_150104_200139,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150102_150106_150104_200139,1.0,3Sr_B_150102_150106_150104_200139,1
