full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-507, Warszawa, Obywatelska, 17",52.20892333984375,20.895740509033203,54.0,BRB,02-507,Warszawa,Obywatelska,17.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1
"Poland, 05-850, Jawczyce, Wspólna Droga, 11",52.20808410644531,20.852298736572266,54.0,BHC,05-850,Jawczyce,Wspólna Droga,11.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1
"Poland, 05-850, Bronisze, Piastowska, 23",52.21152877807617,20.839942932128906,247.5,BRB,05-850,Bronisze,Piastowska,23.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1
"Poland, 05-807, Podkowa Leśna, Jodłowa, 21",52.11863708496094,20.73061180114746,54.0,BHC,05-807,Podkowa Leśna,Jodłowa,21.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1
"Poland, 05-822, Milanówek, Królewska, 27",52.125064849853516,20.689050674438477,247.5,BRA,05-822,Milanówek,Królewska,27.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-314, Baranów, Południowa, 14",52.16609573364258,20.44722557067871,247.5,BRA,96-314,Baranów,Południowa,14.0,1.0,150102_150106_150104_200139,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-315, Wiskitki, Guzowska, 15",52.08998489379883,20.368587493896484,247.5,BRA,96-315,Wiskitki,Guzowska,15.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-300, Żyrardów, Skrowaczewskiego, 20",52.067440032958984,20.43877410888672,247.5,BRA,96-300,Żyrardów,Skrowaczewskiego,20.0,1.0,150102_150106_150104_200139,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1
"Poland, 96-300, Żyrardów, Stanisława Moniuszki, 33",52.05628204345703,20.449331283569336,247.5,BRC,96-300,Żyrardów,Stanisława Moniuszki,33.0,1.0,150102_150106_150104_200139,1 poniedziałek,1 raz w miesiącu,1,Pn,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Pn,1Pn_B_150102_150106_150104_200139,1
