full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-738, Warszawa, Dominikańska, 28",52.176090240478516,21.036108016967773,247.5,BWA,02-738,Warszawa,Dominikańska,28.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 02-781, Warszawa, Roentgena, 9",52.144744873046875,21.02834129333496,27.0,BWC,02-781,Warszawa,Roentgena,9.0,1.0,150102_150106_150104_200139,2 piątek,1 raz w miesiącu,2,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 02-829, Warszawa, Taneczna, 28",52.148841857910156,21.015369415283203,247.5,BWC,02-829,Warszawa,Taneczna,28.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 05-830, Nadarzyn, Księżycowa, 8",52.10504913330078,20.818288803100586,247.5,BHB,05-830,Nadarzyn,Księżycowa,8.0,1.0,150102_150106_150104_200139,2 piątek,1 raz w miesiącu,2,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 96-315, Wiskitki, Zagródź, 19",52.08699035644531,20.402219772338867,27.0,BRC,96-315,Wiskitki,Zagródź,19.0,1.0,150102_150106_150104_200139,2 piątek,1 raz w miesiącu,2,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, , Kajetany, Miedziana, 12",52.085540771484375,20.80973243713379,247.5,BHC,,Kajetany,Miedziana,12.0,1.0,150102_150106_150104_200139,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 05-830, Kajetany, Rolna, 6",52.09014892578125,20.81814193725586,247.5,BHC,05-830,Kajetany,Rolna,6.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 05-830, Kajetany, Brzozowa, 18",52.0918083190918,20.821151733398438,54.0,BHC,05-830,Kajetany,Brzozowa,18.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 05-552, Walendów, Nad Utratą, 32",52.091732025146484,20.845701217651367,247.5,BHB,05-552,Walendów,Nad Utratą,32.0,1.0,150102_150106_150104_200139,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 05-816, Michałowice, al. Jerozolimskie, 17",52.181434631347656,20.89066505432129,247.5,BHC,05-816,Michałowice,al. Jerozolimskie,17.0,1.0,150102_150106_150104_200139,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 05-090, Raszyn, Emaliowa, 11",52.16708755493164,20.928754806518555,54.0,BHC,05-090,Raszyn,Emaliowa,11.0,1.0,150102_150106_150104_200139,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 02-182, Warszawa, Ruchliwa, 27",52.17512512207031,20.947343826293945,247.5,BWB,02-182,Warszawa,Ruchliwa,27.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 02-261, Warszawa, Robotnicza, 23",52.18187713623047,20.94717788696289,54.0,BWC,02-261,Warszawa,Robotnicza,23.0,1.0,150102_150106_150104_200139,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 02-255, Warszawa, Krakowiaków, 9",52.18560028076172,20.950927734375,54.0,BWC,02-255,Warszawa,Krakowiaków,9.0,1.0,150102_150106_150104_200139,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 02-239, Warszawa, Leonidasa, 15",52.183799743652344,20.941869735717773,247.5,BWA,02-239,Warszawa,Leonidasa,15.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 02-235, Warszawa, Równoległa, 8",52.19832229614258,20.941335678100586,247.5,BWB,02-235,Warszawa,Równoległa,8.0,1.0,150102_150106_150104_200139,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 02-386, Warszawa, Usypiskowa, 10",52.20425033569336,20.96152687072754,247.5,BWC,02-386,Warszawa,Usypiskowa,10.0,1.0,150102_150106_150104_200139,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Poland, 00-054, Warszawa, Jasna, 17",52.23628616333008,21.010223388671875,54.0,BWB,00-054,Warszawa,Jasna,17.0,1.0,150102_150106_150104_200139,wtorek piątek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Pt",0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2Pt,2Pt_B_150102_150106_150104_200139,1
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
