full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-952, Warszawa, Wiertnicza, 8",52.1716423034668,21.081233978271484,495.0,BWB,02-952,Warszawa,Wiertnicza,8.0,1.0,200108_200201_200301,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 02-972, Warszawa, Aleja Rzeczypospolitej, 33",52.16792678833008,21.06699562072754,495.0,BWA,02-972,Warszawa,Aleja Rzeczypospolitej,33.0,1.0,200108_200201_200301,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Żeglińskiego, 7",52.07903289794922,21.040626525878906,346.5,BWC,05-500 ,Piaseczno,Żeglińskiego,7.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Elektroniczna, 24",52.08199691772461,21.032459259033203,495.0,BWC,05-500 ,Piaseczno,Elektroniczna,24.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Zgoda, 29",52.073787689208984,21.02964973449707,108.0,BWC,05-500 ,Piaseczno,Zgoda,29.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Plac Piłsudskiego, 22",52.074913024902344,21.028196334838867,495.0,BWB,05-500 ,Piaseczno,Plac Piłsudskiego,22.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Jana Pawła II, 9",52.075008392333984,21.02414894104004,495.0,BWC,05-500 ,Piaseczno,Jana Pawła II,9.0,1.0,200108_200201_200301,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Kościuszki, 17",52.071998596191406,21.02733039855957,54.0,BWC,05-500 ,Piaseczno,Kościuszki,17.0,1.0,200108_200201_200301,3 poniedziałek,1 raz w miesiącu,3,Pn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
"Poland, 05-500 , Piaseczno, Rejtana, 12",52.06491470336914,21.030162811279297,108.0,BWC,05-500 ,Piaseczno,Rejtana,12.0,1.0,200108_200201_200301,1 i 3 poniedziałek,2 razy w miesiącu,"1, 3",Pn,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_B_200108_200201_200301,1
