full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-500, Józefosław, Wilanowska, 8",52.09782028198242,21.042936325073242,247.5,BWB,05-500,Józefosław,Wilanowska,8.0,1.0,150102_150106_150104_200139,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500, Żabieniec, Asfaltowa, 21",52.058658599853516,21.04753303527832,27.0,BWC,05-500,Żabieniec,Asfaltowa,21.0,1.0,150102_150106_150104_200139,4 środa,1 raz w miesiącu,4,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500, Chylice, Sielska, 15",52.07183837890625,21.056615829467773,54.0,BWC,05-500,Chylice,Sielska,15.0,1.0,150102_150106_150104_200139,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500 , Piaseczno, Techniczna, 19",52.079463958740234,21.037477493286133,54.0,BWB,05-500 ,Piaseczno,Techniczna,19.0,1.0,150102_150106_150104_200139,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500 , Piaseczno, Okulickiego, 33",52.081687927246094,21.015323638916016,54.0,BWC,05-500 ,Piaseczno,Okulickiego,33.0,1.0,150102_150106_150104_200139,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500, Stara Iwiczna, Nowa, 30",52.085205078125,20.994739532470703,1575.0,BRA,05-500,Stara Iwiczna,Nowa,30.0,1.0,150102_150106_150104_200139,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-500, Jazgarzew, Górna, 29",52.03758239746094,20.98832893371582,54.0,BWC,05-500,Jazgarzew,Górna,29.0,1.0,150102_150106_150104_200139,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-506, Władysławów, Żwirowa, 26",52.06842803955078,20.951045989990234,27.0,BWC,05-506,Władysławów,Żwirowa,26.0,1.0,150102_150106_150104_200139,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
"Poland, 05-830, Wolica, Sękocińska, 24",52.11625671386719,20.8693790435791,1125.0,BHA,05-830,Wolica,Sękocińska,24.0,1.0,150102_150106_150104_200139,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150102_150106_150104_200139,1
