full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-220, Warszawa, Łopuszańska, 9",52.190486907958984,20.95581817626953,1890.0000000000002,BWA,02-220,Warszawa,Łopuszańska,9.0,1.0,150101_200201,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_150101_200201,1.0,1Cz_B_150101_200201,1
"Poland, 02-246, Warszawa, Geologiczna, 31",52.18996810913086,20.954744338989258,297.0,BWA,02-246,Warszawa,Geologiczna,31.0,1.0,150101_200201,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_150101_200201,1.0,1Cz_B_150101_200201,1
"Poland, 02-486, Warszawa, Al. Jerozolimskie, 22",52.21202850341797,20.951335906982422,297.0,BWC,02-486,Warszawa,Al. Jerozolimskie,22.0,1.0,150101_200201,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_150101_200201,1.0,1Cz_B_150101_200201,1
"Poland, 02-226, Warszawa, Pryzmaty, 19",52.19954299926758,20.938114166259766,297.0,BWB,02-226,Warszawa,Pryzmaty,19.0,1.0,150101_200201,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_150101_200201,1.0,1Cz_B_150101_200201,1
"Poland, 02-273 , Warszawa, Muszkieterów, 15",52.17875671386719,20.937292098999023,297.0,BWC,02-273 ,Warszawa,Muszkieterów,15.0,1.0,150101_200201,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_150101_200201,1.0,1Cz_B_150101_200201,1
"Poland, 02-285 , Warszawa, Szyszkowa, 30",52.17328643798828,20.928077697753906,297.0,BWA,02-285 ,Warszawa,Szyszkowa,30.0,1.0,150101_200201,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_150101_200201,1.0,1Cz_B_150101_200201,1
"Poland, 05-825, Grodzisk Mazowiecki, Chrzanowska, 22",52.1181526184082,20.625444412231445,495.0,BRA,05-825,Grodzisk Mazowiecki,Chrzanowska,22.0,1.0,150101_200201,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_150101_200201,1.0,1Cz_B_150101_200201,1
"Poland, 05-090, Sękocin Stary, Logistyczna, 17",52.114173889160156,20.88542366027832,297.0,BHA,05-090,Sękocin Stary,Logistyczna,17.0,1.0,150101_200201,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1Cz,1Cz_B_150101_200201,1.0,1Cz_B_150101_200201,1
"Poland, 05-090, Janki, Sezamkowa, 13",52.131919860839844,20.896501541137695,64.80000000000001,BHC,05-090,Janki,Sezamkowa,13.0,1.0,150101_200201,1 i 3 czwartek,2 razy w miesiącu,"1, 3",Cz,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1Cz,1Cz_B_150101_200201,1.0,1Cz_B_150101_200201,1
