full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-972, Warszawa, Aleja Rzeczypospolitej, 33",52.16792678833008,21.06699562072754,495.0,BWA,02-972,Warszawa,Aleja Rzeczypospolitej,33.0,1.0,200108_200201_200301,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3So,3So_B_200108_200201_200301,1.0,3So_B_200108_200201_200301,1
"Poland, 05-807, Podkowa Leśna, Brwinowska, 29",52.12575149536133,20.721662521362305,495.0,PR,05-807,Podkowa Leśna,Brwinowska,29.0,1.0,200108_200201_200301,3 czwartek,1 raz w miesiącu,3,Cz,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Cz,3Cz_P_200108_200201_200301,1.0,3So_B_200108_200201_200301,1
"Poland, 96-316 , Międzyborów, Partyzantów, 10",52.062042236328125,20.482938766479492,108.0,PW,96-316 ,Międzyborów,Partyzantów,10.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3Pt,3Pt_P_200108_200201_200301,1.0,3So_B_200108_200201_200301,1
"Poland, 96-300, Żyrardów, Chopina, 17",52.05289840698242,20.431808471679688,495.0,PR,96-300,Żyrardów,Chopina,17.0,1.0,200108_200201_200301,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3Pn,3Pn_P_200108_200201_200301,1.0,3So_B_200108_200201_200301,1
"Poland, 96-321, Żabia Wola, Główna, 27",52.025081634521484,20.691919326782227,495.0,PR,96-321,Żabia Wola,Główna,27.0,1.0,200108_200201_200301,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pt,3Pt_P_200108_200201_200301,1.0,3So_B_200108_200201_200301,1
"Poland, 05-831, Młochów, Ks.Bronisława Markiewicza, 5",52.047977447509766,20.78411293029785,495.0,PH,05-831,Młochów,Ks.Bronisława Markiewicza,5.0,1.0,200108_200201_200301,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3Pt,3Pt_P_200108_200201_200301,1.0,3So_B_200108_200201_200301,1
"Poland, 05-090, Raszyn, Sportowa, 29",52.150634765625,20.92998504638672,495.0,PW,05-090,Raszyn,Sportowa,29.0,1.0,200108_200201_200301,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3Wt,3Wt_P_200108_200201_200301,1.0,3So_B_200108_200201_200301,1
"Poland, 02-384, Warszawa, Włodarzewska, 27",52.20206069946289,20.956127166748047,495.0,BWA,02-384,Warszawa,Włodarzewska,27.0,1.0,200108_200201_200301,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3So,3So_B_200108_200201_200301,1.0,3So_B_200108_200201_200301,1
"Poland, 01-747, Warszawa, Powązkowska, 17",52.25853729248047,20.962650299072266,495.0,BWA,01-747,Warszawa,Powązkowska,17.0,1.0,200108_200201_200301,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3So,3So_B_200108_200201_200301,1.0,3So_B_200108_200201_200301,1
"Poland, 02-665, Warszawa, Al. Wilanowska, 21",52.179378509521484,21.02096939086914,495.0,BWA,02-665,Warszawa,Al. Wilanowska,21.0,1.0,200108_200201_200301,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3So,3So_B_200108_200201_200301,1.0,3So_B_200108_200201_200301,1
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
