full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-676, Warszawa, Suwak, 12",52.180912017822266,20.99134635925293,297.0,BWA,02-676,Warszawa,Suwak,12.0,1.0,150101_200201,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 05-552, Łazy, Wiejska, 11",52.08366775512695,20.89277458190918,297.0,BWC,05-552,Łazy,Wiejska,11.0,1.0,150101_200201,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 05-825, Książenice, Marylskiego, 16",52.0709114074707,20.695701599121094,297.0,BRC,05-825,Książenice,Marylskiego,16.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 96-321, Wycinki Osowskie, Międzynarodowa, 7",52.0419807434082,20.654199600219727,32.400000000000006,BRC,96-321,Wycinki Osowskie,Międzynarodowa,7.0,1.0,150101_200201,3 środa,1 raz w miesiącu,3,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 96-300, Wręcza, Nowy Świat, 26",51.99723815917969,20.46378517150879,297.0,BRA,96-300,Wręcza,Nowy Świat,26.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 96-320 , Mszczonów, Keramzytowa, 20",51.98509979248047,20.515470504760742,54.0,BRA,96-320 ,Mszczonów,Keramzytowa,20.0,1.0,150101_200201,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 96-320, Mszczonów, Tarczyńska, 20",51.97393035888672,20.527374267578125,297.0,BRA,96-320,Mszczonów,Tarczyńska,20.0,1.0,150101_200201,3 środa,1 raz w miesiącu,3,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 96-321, Nowa Bukówka, Skulska, 11",52.02184295654297,20.654216766357422,675.0,BRB,96-321,Nowa Bukówka,Skulska,11.0,1.0,150101_200201,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 96-321, Żelechów, Juliusza Kossaka, 31",52.02309799194336,20.730791091918945,64.80000000000001,BHC,96-321,Żelechów,Juliusza Kossaka,31.0,1.0,150101_200201,3 środa,1 raz w miesiącu,3,Sr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, , Wólka Kosowska, Wesoła, 25",52.06169891357422,20.84745979309082,1350.0,BHB,,Wólka Kosowska,Wesoła,25.0,1.0,150101_200201,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 05-552, Łazy, Przyszłości, 10",52.07411193847656,20.875202178955078,297.0,BWC,05-552,Łazy,Przyszłości,10.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 05-552, Łazy, Wąska, 10",52.089481353759766,20.876466751098633,32.400000000000006,BWB,05-552,Łazy,Wąska,10.0,1.0,150101_200201,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Poland, 01-891, Warszawa, Staffa, 7",52.273460388183594,20.960533142089844,108.0,BWB,01-891,Warszawa,Staffa,7.0,1.0,150101_200201,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_150101_200201,1.0,3Sr_B_150101_200201,1
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
