full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-800, Piastów, Kasprowicza, 26",52.177486419677734,20.84913444519043,32.400000000000006,BHA,05-800,Piastów,Kasprowicza,26.0,1.0,150101_200201,3 wtorek,1 raz w miesiącu,3,Wt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201,1.0,3Wt_B_150101_200201,1
"Poland, 05-806 , Komorów, Marii Dabrowskiej, 25",52.14594268798828,20.82261085510254,297.0,BHC,05-806 ,Komorów,Marii Dabrowskiej,25.0,1.0,150101_200201,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201,1.0,3Wt_B_150101_200201,1
"Poland, 05-807, Kanie, Piłsudskiego, 26",52.13459777832031,20.772764205932617,32.400000000000006,BHB,05-807,Kanie,Piłsudskiego,26.0,1.0,150101_200201,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201,1.0,3Wt_B_150101_200201,1
"Poland, 05-800, Brwinów, Kościelna, 28",52.146305084228516,20.7158260345459,297.0,BHC,05-800,Brwinów,Kościelna,28.0,1.0,150101_200201,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201,1.0,3Wt_B_150101_200201,1
"Poland, 05-822, Milanówek, Konopnickiej, 26",52.123538970947266,20.69595718383789,64.80000000000001,BRC,05-822,Milanówek,Konopnickiej,26.0,1.0,150101_200201,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201,1.0,3Wt_B_150101_200201,1
"Poland, 05-825, Chrzanów Mały, Pączkowa, 30",52.139801025390625,20.62604331970215,32.400000000000006,BRC,05-825,Chrzanów Mały,Pączkowa,30.0,1.0,150101_200201,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201,1.0,3Wt_B_150101_200201,1
"Poland, 05-505, Błonie, Kolejowa, 7",52.186988830566406,20.60761070251465,297.0,BRC,05-505,Błonie,Kolejowa,7.0,1.0,150101_200201,3 wtorek,1 raz w miesiącu,3,Wt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201,1.0,3Wt_B_150101_200201,1
"Poland, 05-850, Koprki, Jaśminowa, 11",52.213958740234375,20.745939254760742,297.0,BHC,05-850,Koprki,Jaśminowa,11.0,1.0,150101_200201,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201,1.0,3Wt_B_150101_200201,1
"Poland, 05-820, Piastów, Sułkowskiego, 27",52.18915557861328,20.83281135559082,64.80000000000001,BWC,05-820,Piastów,Sułkowskiego,27.0,1.0,150101_200201,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201,1.0,3Wt_B_150101_200201,1
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
