full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 05-830, Wolica, Św. Piotra I Pawła, 7",52.12077331542969,20.863527297973633,27.0,BHC,05-830,Wolica,Św. Piotra I Pawła,7.0,1.0,150102_150106_150104_200139,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4Cz,4Cz_B_150102_150106_150104_200139,1.0,4Cz_B_150102_150106_150104_200139,1
"Poland, 05-831, Rozalin, Kawalerska, 28",52.05311584472656,20.750537872314453,27.0,BHC,05-831,Rozalin,Kawalerska,28.0,1.0,150102_150106_150104_200139,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4Cz,4Cz_B_150102_150106_150104_200139,1.0,4Cz_B_150102_150106_150104_200139,1
"Poland, 05-825, Grodzisk Mazowiecki, Graniczna, 11",52.05026626586914,20.725481033325195,1575.0,BRA,05-825,Grodzisk Mazowiecki,Graniczna,11.0,1.0,150102_150106_150104_200139,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4Cz,4Cz_B_150102_150106_150104_200139,1.0,4Cz_B_150102_150106_150104_200139,1
"Poland, 05-825, Odrano-Wola, Grota Roweckiego, 6",52.09539794921875,20.63882064819336,54.0,BRB,05-825,Odrano-Wola,Grota Roweckiego,6.0,1.0,150102_150106_150104_200139,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4Cz,4Cz_B_150102_150106_150104_200139,1.0,4Cz_B_150102_150106_150104_200139,1
"Poland, 05-825, Grodzisk Mazowiecki, Henryka Sienkiewicza, 21",52.102813720703125,20.63031578063965,247.5,BRB,05-825,Grodzisk Mazowiecki,Henryka Sienkiewicza,21.0,1.0,150102_150106_150104_200139,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4Cz,4Cz_B_150102_150106_150104_200139,1.0,4Cz_B_150102_150106_150104_200139,1
"Poland, 05-825, Grodzisk Mazowiecki, H. Sienkiewicza, 14",52.10321044921875,20.630197525024414,27.0,BRC,05-825,Grodzisk Mazowiecki,H. Sienkiewicza,14.0,1.0,150102_150106_150104_200139,4 czwartek,1 raz w miesiącu,4,Cz,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4Cz,4Cz_B_150102_150106_150104_200139,1.0,4Cz_B_150102_150106_150104_200139,1
"Poland, 05-825, Grodzisk Mazowiecki, Słowackiego, 32",52.116127014160156,20.63252830505371,247.5,BRC,05-825,Grodzisk Mazowiecki,Słowackiego,32.0,1.0,150102_150106_150104_200139,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4Cz,4Cz_B_150102_150106_150104_200139,1.0,4Cz_B_150102_150106_150104_200139,1
"Poland, 05-825, Grodzisk Mazowiecki, Limanowskiego, 8",52.1076774597168,20.621597290039062,54.0,BRC,05-825,Grodzisk Mazowiecki,Limanowskiego,8.0,1.0,150102_150106_150104_200139,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4Cz,4Cz_B_150102_150106_150104_200139,1.0,4Cz_B_150102_150106_150104_200139,1
"Poland, 96-314, Baranów, Południowa, 14",52.16609573364258,20.44722557067871,247.5,BRA,96-314,Baranów,Południowa,14.0,1.0,150102_150106_150104_200139,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4Cz,4Cz_B_150102_150106_150104_200139,1.0,4Cz_B_150102_150106_150104_200139,1
