full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,outliner,new_frequency,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 02-777, Warszawa, Al. Ken, 12",52.147865295410156,21.04844093322754,297.0,BWA,02-777,Warszawa,Al. Ken,12.0,1.0,150101_200201,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-500 , Piaseczno, Geodetów, 26",52.09920883178711,21.02242088317871,297.0,BWB,05-500 ,Piaseczno,Geodetów,26.0,1.0,150101_200201,4 piątek,1 raz w miesiącu,4,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-500 , Piaseczno, Opalowa, 14",52.09508514404297,21.02998161315918,32.400000000000006,BWC,05-500 ,Piaseczno,Opalowa,14.0,1.0,150101_200201,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-500 , Piaseczno, Przesmyckiego, 20",52.080223083496094,21.04452133178711,32.400000000000006,BWC,05-500 ,Piaseczno,Przesmyckiego,20.0,1.0,150101_200201,4 piątek,1 raz w miesiącu,4,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, , Piaseczno, Młynarska, 24",52.077545166015625,21.031221389770508,32.400000000000006,BWC,,Piaseczno,Młynarska,24.0,1.0,150101_200201,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-500 , Piaseczno, ul. Szkolna, 9",52.07622528076172,21.022607803344727,32.400000000000006,BWC,05-500 ,Piaseczno,ul. Szkolna,9.0,1.0,150101_200201,4 piątek,1 raz w miesiącu,4,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-500 , Piaseczno, Kwiatów Polskich, 18",52.07143020629883,20.999725341796875,64.80000000000001,BWB,05-500 ,Piaseczno,Kwiatów Polskich,18.0,1.0,150101_200201,4 piątek,1 raz w miesiącu,4,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-500, Nowa Wola, Ignacego Krasickiego, 31",52.09565353393555,20.958925247192383,297.0,BWB,05-500,Nowa Wola,Ignacego Krasickiego,31.0,1.0,150101_200201,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-506, Lesznowola, Salamandry, 10",52.101036071777344,20.9176082611084,32.400000000000006,BWC,05-506,Lesznowola,Salamandry,10.0,1.0,150101_200201,4 piątek,1 raz w miesiącu,4,Pt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-830, Walendów, Słonecznej Polany, 19",52.09539794921875,20.840566635131836,495.0,BHC,05-830,Walendów,Słonecznej Polany,19.0,1.0,150101_200201,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-830, Nadarzyn, Pl.Poniatowskiego, 15",52.092124938964844,20.807151794433594,297.0,BHC,05-830,Nadarzyn,Pl.Poniatowskiego,15.0,1.0,150101_200201,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-830, Nadarzyn, Pl. Poniatowskiego, 26",52.09282684326172,20.806133270263672,54.0,BHB,05-830,Nadarzyn,Pl. Poniatowskiego,26.0,1.0,150101_200201,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-807, Podkowa Leśna, Sosnowa, 18",52.12129592895508,20.74248695373535,297.0,BHC,05-807,Podkowa Leśna,Sosnowa,18.0,1.0,150101_200201,4 wtorek,1 raz w miesiącu,4,Wt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150101_200201,1.0,4Pt_B_150101_200201,1
"Poland, 05-822, Milanówek, Zbigniewa Herberta, 22",52.12314224243164,20.672834396362305,64.80000000000001,BRC,05-822,Milanówek,Zbigniewa Herberta,22.0,1.0,150101_200201,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150101_200201,1.0,4Pt_B_150101_200201,1
