group_name,distance,volume,time
2Pn_B_200108_200201_200301,292.80190000000005,29.104,11.080472222222223
2Wt_B_200108_200201_200301,168.8315,14.535,4.633
2Pt_B_200108_200201_200301,385.6533,6.723,5.504555555555556
2Cz_B_200108_200201_200301,294.10679999999996,34.227000000000004,11.034944444444445
4Pt_B_200108_200201_200301,235.46470000000002,21.375,8.724916666666665
1Sr_B_150102_150106_150104_200139,117.41539999999999,2.995,3.4683888888888887
3Sr_B_150102_150106_150104_200139,98.1871,3.022,3.1109166666666668
1Pn_B_150102_150106_150104_200139,189.7782,8.397,5.460416666666666
4Cz_B_150101_200201,125.793,5.208,3.6906388888888886
1Pn_B_200108_200201_200301,497.8387,17.399,11.848444444444448
3Pn_B_200108_200201_200301,368.5525,18.097,10.434361111111114
4Pn_B_200108_200201_200301,270.0897,29.05,10.586722222222223
1Cz_B_200108_200201_200301,177.85640000000004,21.573,7.432194444444445
3Cz_B_200108_200201_200301,174.63259999999997,21.078000000000003,7.290333333333334
4Cz_B_200108_200201_200301,710.7359,21.825000000000003,10.238194444444447
2Pn_B_150102_150106_150104_200139,207.66060000000002,9.385,6.008194444444444
3Pn_B_150102_150106_150104_200139,184.428,8.096,5.226666666666667
4Pn_B_150102_150106_150104_200139,211.7568,9.825,6.0035
1Wt_B_200108_200201_200301,175.22320000000002,15.763,5.7709722222222215
3Wt_B_200108_200201_200301,183.1376,15.966,6.017611111111112
1Sr_B_200108_200201_200301,249.2035,22.698,6.962666666666667
3Sr_B_200108_200201_200301,273.0013,22.59,3.788638888888889
1Pt_B_150101_200201,211.472,5.386,6.488805555555556
3Pt_B_150101_200201,190.00879999999998,5.211,5.814972222222223
1Pt_B_200108_200201_200301,432.3935,17.658,9.017916666666666
3Pt_B_200108_200201_200301,432.53490000000005,17.712,9.081583333333333
1Cz_B_150101_200201,114.3657,4.825,2.826333333333333
2Cz_B_150101_200201,124.8511,5.441,3.711888888888889
3Cz_B_150101_200201,115.21310000000001,5.122,2.910277777777778
1Cz_B_150107_200102,95.917,1.7,2.9418055555555553
3Cz_B_150107_200102,130.5194,1.76,3.2636388888888885
1Pt_B_150102_150106_150104_200139,82.1097,1.837,2.3538888888888887
2Pt_B_150102_150106_150104_200139,178.4195,3.342,4.795055555555556
3Pt_B_150102_150106_150104_200139,82.1097,1.837,2.3538888888888887
4Pt_B_150102_150106_150104_200139,98.5195,3.095,3.6014722222222217
1So_B_200108_200201_200301,149.4927,4.068,3.5434722222222224
2So_B_200108_200201_200301,168.7354,4.122,3.9990833333333335
3So_B_200108_200201_200301,151.2152,4.563,3.897194444444444
4So_B_200108_200201_200301,168.7354,4.122,3.9990833333333335
2Sr_B_150101_200201,154.3729,1.89,3.0345277777777775
