Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BWC,02-486,Warszawa,Al. Jerozolimskie,22,L-1100P,1,150101_200201,co tydzień czwartek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201
BWB,02-219,Warszawa,Al. Krakowska,22,L-1100P,1,150101_200201,poniedziałek czwartek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201
BWA,02-246,Warszawa,Geologiczna,31,L-1100P,1,150101_200201,poniedziałek czwartek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201
BWA,00-847,Warszawa,Towarowa,24,L-120B,1,150101_200201,co tydzień czwartek,Odpady ulegające biodegradacji,"200108, 200301",0.45,L-120B,54.0,L-120,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201
BRA,05-825,Grodzisk Mazowiecki,Chrzanowska,22,L-1100B,1,150101_200201,co tydzień czwartek,Odpady ulegające biodegradacji,"200108, 200301",0.45,L-1100B,495.0,L-1100,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201
BWB,05-090,Raszyn,Al.Krakowska,5,L-1100P,1,150101_200201,co tydzień czwartek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201
BHA,05-090,Sękocin Stary,Logistyczna,17,L-1100P,1,150101_200201,co tydzień czwartek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201
BWA,02-220,Warszawa,Łopuszańska,9,UP-7P,1,150101_200201,co tydzień czwartek,Opakowania z papieru i tektury,200201,0.27,UP-7P,1890.0000000000002,UP-7,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201
BWC,02-273 ,Warszawa,Muszkieterów,15,L-1100P,1,150101_200201,co tydzień czwartek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201
BWA,02-285 ,Warszawa,Szyszkowa,30,L-1100P,1,150101_200201,poniedziałek czwartek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150101_200201
