Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BRA,96-314,Baranów,Południowa,14,L-1100T,1,150102_150106_150104_200139,poniedziałek czwartek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-1100T,247.5,L-1100,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150102_150106_150104_200139
BRA,05-825,Grodzisk Mazowiecki,Graniczna,11,UP-7T,1,150102_150106_150104_200139,poniedziałek czwartek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,UP-7T,1575.0,UP-7,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150102_150106_150104_200139
BRB,05-825,Grodzisk Mazowiecki,Henryka Sienkiewicza,21,L-1100T,1,150102_150106_150104_200139,2 i 4 czwartek,Zmieszane odpady opakowaniowe,"150102, 150104, 200139",0.225,L-1100T,247.5,L-1100,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150102_150106_150104_200139
BWC,05-552,Mroków,Szkolna,16,L-1100T,1,150102_150106_150104_200139,2 czwartek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-1100T,247.5,L-1100,2 czwartek,1 raz w miesiącu,2,Cz,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Cz,2Cz_B_150102_150106_150104_200139
BRC,05-825,Grodzisk Mazowiecki,Limanowskiego,8,L-240T,1,150102_150106_150104_200139,2 i 4 czwartek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-240T,54.0,L-240,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150102_150106_150104_200139
BHC,05-830,Wolica,Św. Piotra I Pawła,7,L-120T,1,150102_150106_150104_200139,2 i 4 czwartek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-120T,27.0,L-120,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150102_150106_150104_200139
BHC,05-831,Rozalin,Kawalerska,28,L-120T,1,150102_150106_150104_200139,2 i 4 czwartek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-120T,27.0,L-120,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150102_150106_150104_200139
BRC,05-825,Grodzisk Mazowiecki,Słowackiego,32,L-1100T,1,150102_150106_150104_200139,2 i 4 czwartek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-1100T,247.5,L-1100,2 i 4 czwartek,2 razy w miesiącu,"2, 4",Cz,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150102_150106_150104_200139
BRC,96-313,Chylice,Wojtkiewicza,33,L-120T,1,150102_150106_150104_200139,2 czwartek,Zmieszane odpady opakowaniowe,"150102, 150104, 200139",0.225,L-120T,27.0,L-120,2 czwartek,1 raz w miesiącu,2,Cz,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Cz,2Cz_B_150102_150106_150104_200139
BRB,05-825,Odrano-Wola,Grota Roweckiego,6,L-240T,1,150102_150106_150104_200139,co tydzień czwartek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-240T,54.0,L-240,co tydzień czwartek,1 raz w tygodniu,"1, 2, 3, 4",Cz,0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2Cz,2Cz_B_150102_150106_150104_200139
