Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BWB,02-219,Warszawa,Al. Krakowska,22,L-1100P,1,150101_200201,poniedziałek czwartek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2Pn,2Pn_B_150101_200201
BWA,02-246,Warszawa,Geologiczna,31,L-1100P,1,150101_200201,poniedziałek czwartek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2Pn,2Pn_B_150101_200201
BWC,02-495,Warszawa,Dyrekcyjna / Silnikowa,9,L-240P,1,150101_200201,2 i 4 poniedziałek,Opakowania z papieru i tektury,200201,0.27,L-240P,64.80000000000001,L-240,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_150101_200201
BWC,05-816,Piastów,Wysockiego,31,L-1100P,1,150101_200201,2 i 4 poniedziałek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_150101_200201
BWA,02-676,Warszawa,Suwak,12,L-1100P,1,150101_200201,poniedziałek środa,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0,0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2Pn,2Pn_B_150101_200201
BWB,01-703,Warszawa,Gąbińska,34,L-1100P,1,150101_200201,co tydzień poniedziałek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_150101_200201
BWA,02-285 ,Warszawa,Szyszkowa,30,L-1100P,1,150101_200201,poniedziałek czwartek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2Pn,2Pn_B_150101_200201
BWB,01-702,Warszawa,Ogólna,9,L-1100P,1,150101_200201,co tydzień poniedziałek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_150101_200201
BWC,02-495,Warszawa,Żołnierzy 2 Armii Wojska Polskiego,20,L-240P,1,150101_200201,2 i 4 poniedziałek,Opakowania z papieru i tektury,200201,0.27,L-240P,64.80000000000001,L-240,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_150101_200201
BWC,02-290,Warszawa,Dzwonkowa,25,L-120P,1,150101_200201,2 poniedziałek,Opakowania z papieru i tektury,200201,0.27,L-120P,32.400000000000006,L-120,2 poniedziałek,1 raz w miesiącu,2,Pn,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Pn,2Pn_B_150101_200201
