Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BHC,05-555,Tarczyn,Niecała,23,L-240T,1,150102_150106_150104_200139,2 środa,Zmieszane odpady opakowaniowe,"150102, 150104, 200139",0.225,L-240T,54.0,L-240,2 środa,1 raz w miesiącu,2,Sr,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BWC,05-500 ,Piaseczno,Okulickiego,33,L-240T,1,150102_150106_150104_200139,co tydzień środa,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-240T,54.0,L-240,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BWC,05-500,Chylice,Sielska,15,L-240T,1,150102_150106_150104_200139,co tydzień środa,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-240T,54.0,L-240,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BWC,05-506,Władysławów,Żwirowa,26,L-120T,1,150102_150106_150104_200139,2 i 4 środa,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-120T,27.0,L-120,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BWC,05-500 ,Piaseczno,Czajewicza,30,L-120T,1,150102_150106_150104_200139,2 środa,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-120T,27.0,L-120,2 środa,1 raz w miesiącu,2,Sr,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BHA,05-830,Wolica,Sękocińska,24,UP-5.T,1,150102_150106_150104_200139,2 i 4 środa,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,UP-5.T,1125.0,UP-5,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BWC,05-504,Henryków-Urocze,Polna,30,L-1100T,1,150102_150106_150104_200139,2 i 4 środa,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-1100T,247.5,L-1100,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BRA,05-500,Stara Iwiczna,Nowa,30,UP-7T,1,150102_150106_150104_200139,poniedziałek środa,Zmieszane odpady opakowaniowe,"150102, 150104, 200139",0.225,UP-7T,1575.0,UP-7,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0,0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BWC,05-500 ,Piaseczno,Powstańców Warszawy,13,L-240T,1,150102_150106_150104_200139,2 środa,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-240T,54.0,L-240,2 środa,1 raz w miesiącu,2,Sr,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BWB,05-500,Józefosław,Wilanowska,8,L-1100T,1,150102_150106_150104_200139,co tydzień środa,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-1100T,247.5,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BWC,05-500,Jazgarzew,Górna,29,L-240T,1,150102_150106_150104_200139,2 i 4 środa,Zmieszane odpady opakowaniowe,"150102, 150104, 200139",0.225,L-240T,54.0,L-240,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BWB,05-500 ,Piaseczno,Techniczna,19,L-240T,1,150102_150106_150104_200139,co tydzień środa,Opakowania z metali,"150106, 150102, 200139",0.225,L-240T,54.0,L-240,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
BWC,05-502,Gołków,Łąkowa,18,L-120T,1,150102_150106_150104_200139,2 środa,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-120T,27.0,L-120,2 środa,1 raz w miesiącu,2,Sr,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Sr,2Sr_B_150102_150106_150104_200139
