Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BHC,05-850 ,Ołtarzew,Poznańska,14,L-120K,1,200108_200201_200301,2 wtorek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-120K,54.0,L-120,2 wtorek,1 raz w miesiącu,2,Wt,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301
BWB,02-676,Warszawa,Domaniewska,9,L-1100K,1,200108_200201_200301,wtorek piątek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,wtorek piątek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Pt",0,0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2Wt,2Wt_B_200108_200201_200301
BRB,02-149,Warszawa,Hynka,32,L-240B,1,200108_200201_200301,co tydzień wtorek,Odpady kuchenne ulegające biodegradacji,"200201, 200301",0.45,L-240B,108.0,L-240,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301
BRB,05-825,Grodzisk Mazowiecki,Nadarzyńska,26,L-1100K,1,200108_200201_200301,co tydzień wtorek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301
BWA,02-497,Warszawa,AL.Jerozolimskie,8,L-1100K,1,200108_200201_200301,poniedziałek wtorek środa czwartek piątek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek wtorek środa czwartek piątek,5 razy w tygodniu,"1, 2, 3, 4","Pn, Wt, Sr, Cz, Pt",0,0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2Wt,2Wt_B_200108_200201_200301
BHB,05-840,Koszajec,Św. Józefa,11,L-1100K,1,200108_200201_200301,wtorek czwartek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,wtorek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Cz",0,0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301
BWB,02-231,Warszawa,Jutrzenki,7,L-1100K,1,200108_200201_200301,co tydzień wtorek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301
BHC,,Pilaszków,Nowowiejska,11,L-1100K,1,200108_200201_200301,co tydzień wtorek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301
BHB,05-860,Święcice,Zaborowska,20,UP-5.K,1,200108_200201_200301,2 i 4 wtorek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,UP-5.K,2250.0,UP-5,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301
BHC,05-850,Ożarów Mazowiecki,Floriana,6,L-120K,1,200108_200201_200301,co tydzień wtorek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-120K,54.0,L-120,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2Wt,2Wt_B_200108_200201_200301
