Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BWC,02-219,Warszawa,Janowskiego,20,L-1100P,1,150101_200201,1 i 3 piątek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pt,3Pt_B_150101_200201
BHB,05-830,Nadarzyn,Pl. Poniatowskiego,26,L-120B,1,150101_200201,co tydzień piątek,Odpady ulegające biodegradacji,"200108, 200301",0.45,L-120B,54.0,L-120,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3Pt,3Pt_B_150101_200201
BWB,05-500,Piaseczno,Puławska,15,L-1100P,1,150101_200201,1 i 3 piątek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pt,3Pt_B_150101_200201
BWC,05-500 ,Piaseczno,Aleja Lipowa,20,L-240P,1,150101_200201,1 i 3 piątek,Opakowania z papieru i tektury,200201,0.27,L-240P,64.80000000000001,L-240,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pt,3Pt_B_150101_200201
BRB,05-825,Grodzisk Mazowiecki,M. Langiewicza,32,L-240P,1,150101_200201,1 i 3 piątek,Opakowania z papieru i tektury,200201,0.27,L-240P,64.80000000000001,L-240,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pt,3Pt_B_150101_200201
BWB,02-971,Warszawa,Przekorna,20,L-1100P,1,150101_200201,1 i 3 piątek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pt,3Pt_B_150101_200201
BWA,02-777,Warszawa,Al. Ken,12,L-1100P,1,150101_200201,co tydzień piątek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3Pt,3Pt_B_150101_200201
BWC,05-500 ,Piaseczno,Redutowa,7,L-240P,1,150101_200201,3 piątek,Opakowania z papieru i tektury,200201,0.27,L-240P,64.80000000000001,L-240,3 piątek,1 raz w miesiącu,3,Pt,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pt,3Pt_B_150101_200201
BWB,05-506,Konstancin-Jeziorna,Przyrzecze,7,L-1100P,1,150101_200201,1 i 3 piątek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pt,3Pt_B_150101_200201
BWC,05-540,Zalesie Górne,Wczasowa,28,L-120P,1,150101_200201,1 i 3 piątek,Opakowania z papieru i tektury,200201,0.27,L-120P,32.400000000000006,L-120,1 i 3 piątek,2 razy w miesiącu,"1, 3",Pt,0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Pt,3Pt_B_150101_200201
BWC,,Piaseczno,Młynarska,24,L-120P,1,150101_200201,co tydzień piątek,Opakowania z papieru i tektury,200201,0.27,L-120P,32.400000000000006,L-120,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3Pt,3Pt_B_150101_200201
BRB,96-313,Chylice-Kolonia,3 Maja,24,L-1100P,1,150101_200201,co tydzień piątek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3Pt,3Pt_B_150101_200201
