Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BWC,05-552,Łazy,ALEJA KRAKOWSKA,22,L-240K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRB,96-325,Radziejowice,Mszczonowska,28,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWA,02-497,Warszawa,AL.Jerozolimskie,8,L-1100K,1,200108_200201_200301,poniedziałek wtorek środa czwartek piątek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek wtorek środa czwartek piątek,5 razy w tygodniu,"1, 2, 3, 4","Pn, Wt, Sr, Cz, Pt",0,0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRC,96-320,Grabce-Towarzystwo,Żukowska,34,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRB,05-870,Błonie,Sochaczewska,31,UP-7K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,UP-7K,3150.0,UP-7,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRA,96-325,Radziejowice Parcel,Boczna,15,L-120K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-120K,54.0,L-120,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BHA,05-850,Jawczyce,Sadowa,16,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRC,05-870,Radonice,Radonice,8,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRA,05-870,Błonie,Pass,20,UP-7K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,UP-7K,3150.0,UP-7,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWB,03-301,Warszawa,Jagiellońska,33,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-500,Nowa Iwiczna,Niezapominajki,32,L-240K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWA,01-267,Warszawa,Jana Kazimierza,18,L-1100K,1,200108_200201_200301,poniedziałek środa piątek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0,0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRA,05-825,Urszulin,Legionistów,33,L-240B,1,200108_200201_200301,poniedziałek środa piątek,Odpady kuchenne ulegające biodegradacji,"200201, 200301",0.45,L-240B,108.0,L-240,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0,0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWB,01-476,Warszawa,Sylwestra Kaliskiego,33,L-1100K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-506,Kolonia Lesznowola,Postępu,21,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRA,96-314,Baranów,Północna,24,L-1100K,1,200108_200201_200301,poniedziałek środa piątek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0,0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWB,00-021,Warszawa,Chmielna,10,L-1100K,1,200108_200201_200301,poniedziałek środa piątek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0,0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,02-164,Warszawa,Canaletta,33,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-503,Antoninów,Masztowa,20,L-1100K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRC,05-822,Milanówek,Książenicka,23,L-240K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRC,05-505,Błonie,Powstańców,30,L-240K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-552,Łazy,Ks. Kanonika H. Słojewskiego,24,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWA,00-710,Warszawa,Idzikowskiego,17,L-240B,1,200108_200201_200301,co tydzień środa,Odpady kuchenne ulegające biodegradacji,"200201, 200301",0.45,L-240B,108.0,L-240,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-504,Runów,Solidarności,23,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BHC,05-555,Suchodół,ul. Słoneczna,22,L-240K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-503,Głosków,Korczunkowa,25,L-1100K,1,200108_200201_200301,poniedziałek środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0,0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-506,Lesznowola,Żubra,17,L-240K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-506,Lesznowola,Gminna,10,L-240K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRB,05-825,Grodzisk Mazowiecki,J. Słowackiego,29,UP-7K,1,200108_200201_200301,poniedziałek środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,UP-7K,3150.0,UP-7,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0,0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-504,Henryków-Urocze,Społeczna,12,L-240K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRA,96-320 ,Mszczonów,Ługowa,28,UP-7K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,UP-7K,3150.0,UP-7,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-506,Magdalenka,Modrzewiowa,29,L-120K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-120K,54.0,L-120,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRA,96-315,Cyganka,Francuska,17,UP-7K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,UP-7K,3150.0,UP-7,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BWC,05-500,Nowa Iwiczna,Kielecka,25,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BHC,05-830,Wolica,Przerąbkowska,24,L-1100K,1,200108_200201_200301,1 i 3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,1 i 3 środa,2 razy w miesiącu,"1, 3",Sr,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRA,96-320 ,Mszczonów,3-go Maja,21,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRC,96-300,Krzyżówka,Wypoczynkowa,24,L-1100K,1,200108_200201_200301,3 środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,3 środa,1 raz w miesiącu,3,Sr,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
BRB,02-830,Warszawa,Mazura,14,L-1100K,1,200108_200201_200301,co tydzień środa,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3Sr,3Sr_B_200108_200201_200301
