Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BHC,05-800,Brwinów,Kościelna,28,L-1100P,1,150101_200201,1 i 3 wtorek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201
BHB,05-800,Pruszków,3-go maja,24,L-1100P,1,150101_200201,co tydzień wtorek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201
BRB,05-870,Błonie,Os.Pass,27,L-1100P,1,150101_200201,co tydzień wtorek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201
BHA,05-800,Piastów,Kasprowicza,26,L-120P,1,150101_200201,3 wtorek,Opakowania z papieru i tektury,200201,0.27,L-120P,32.400000000000006,L-120,3 wtorek,1 raz w miesiącu,3,Wt,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201
BRC,05-822,Milanówek,Konopnickiej,26,L-240P,1,150101_200201,1 i 3 wtorek,Opakowania z papieru i tektury,200201,0.27,L-240P,64.80000000000001,L-240,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201
BHC,05-806 ,Komorów,Marii Dabrowskiej,25,L-1100P,1,150101_200201,co tydzień wtorek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201
BHB,05-807,Kanie,Piłsudskiego,26,L-120P,1,150101_200201,1 i 3 wtorek,Opakowania z papieru i tektury,200201,0.27,L-120P,32.400000000000006,L-120,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201
BHC,05-850,Koprki,Jaśminowa,11,L-1100P,1,150101_200201,co tydzień wtorek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201
BWC,05-820,Piastów,Sułkowskiego,27,L-240P,1,150101_200201,1 i 3 wtorek,Opakowania z papieru i tektury,200201,0.27,L-240P,64.80000000000001,L-240,1 i 3 wtorek,2 razy w miesiącu,"1, 3",Wt,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201
BRC,05-505,Błonie,Kolejowa,7,L-1100P,1,150101_200201,3 wtorek,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,3 wtorek,1 raz w miesiącu,3,Wt,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3Wt,3Wt_B_150101_200201
