Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BWC,,Gołków,ul. Zielona,31,L-1100K,1,200108_200201_200301,co tydzień poniedziałek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BRA,96-300,Żyrardów,Mickiewicza,22,L-1100K,1,200108_200201_200301,co tydzień poniedziałek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BHB,05-830,Kajetany,Klonowa,9,UP-7K,1,200108_200201_200301,2 i 4 poniedziałek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,UP-7K,3150.0,UP-7,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWA,02-384,Warszawa,Włodarzewska,27,L-1100K,1,200108_200201_200301,poniedziałek czwartek sobota,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0,0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4Pn,4Pn_B_200108_200201_200301
BRA,05-825,Janinów,Norweska,17,L-1100K,1,200108_200201_200301,poniedziałek czwartek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWA,02-497,Warszawa,AL.Jerozolimskie,8,L-1100K,1,200108_200201_200301,poniedziałek wtorek środa czwartek piątek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek wtorek środa czwartek piątek,5 razy w tygodniu,"1, 2, 3, 4","Pn, Wt, Sr, Cz, Pt",0,0,20.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWC,02-634,Warszawa,Racławicka,18,L-240K,1,200108_200201_200301,poniedziałek czwartek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,poniedziałek czwartek,2 razy w tygodniu,"1, 2, 3, 4","Pn, Cz",0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWC,05-500 ,Piaseczno,Julianowska,21,L-240K,1,200108_200201_200301,co tydzień poniedziałek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWC,05-500,Siedliska,Mostowa,16,L-700K,1,200108_200201_200301,2 i 4 poniedziałek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-700K,346.5,,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWB,05-500 ,Piaseczno,Orężna,25,L-1100K,1,200108_200201_200301,2 i 4 poniedziałek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWC,05-520,Konstancin-Jeziorna,Źródlana,10,L-770K,1,200108_200201_200301,co tydzień poniedziałek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-770K,346.5,L-770,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWB,05-500 ,Piaseczno,Pod Bateriami,18,L-240K,1,200108_200201_200301,co tydzień poniedziałek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-240K,108.0,L-240,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWA,02-972,Warszawa,Aleja Rzeczypospolitej,33,L-1100K,1,200108_200201_200301,poniedziałek czwartek sobota,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek czwartek sobota,3 razy w tygodniu,"1, 2, 3, 4","Pn, Cz, So",0,0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4Pn,4Pn_B_200108_200201_200301
BWC,05-500 ,Piaseczno,Orzechowa,20,L-1100K,1,200108_200201_200301,co tydzień poniedziałek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWA,01-267,Warszawa,Jana Kazimierza,18,L-1100K,1,200108_200201_200301,poniedziałek środa piątek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0,0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4Pn,4Pn_B_200108_200201_200301
BRA,05-825,Urszulin,Legionistów,33,L-240B,1,200108_200201_200301,poniedziałek środa piątek,Odpady kuchenne ulegające biodegradacji,"200201, 200301",0.45,L-240B,108.0,L-240,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0,0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWA,02-826,Warszawa,Poloneza,27,L-240B,1,200108_200201_200301,2 i 4 poniedziałek,Odpady kuchenne ulegające biodegradacji,"200201, 200301",0.45,L-240B,108.0,L-240,2 i 4 poniedziałek,2 razy w miesiącu,"2, 4",Pn,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BWC,02-868,Warszawa,Sarabandy,24,L-120K,1,200108_200201_200301,co tydzień poniedziałek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-120K,54.0,L-120,co tydzień poniedziałek,1 raz w tygodniu,"1, 2, 3, 4",Pn,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4Pn,4Pn_B_200108_200201_200301
BRA,96-314,Baranów,Północna,24,L-1100K,1,200108_200201_200301,poniedziałek środa piątek,Niesegregowane (zmieszane) odpady komunalne,"200201, 200108",0.45,L-1100K,495.0,L-1100,poniedziałek środa piątek,3 razy w tygodniu,"1, 2, 3, 4","Pn, Sr, Pt",0,0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4Pn,4Pn_B_200108_200201_200301
