Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BWC,02-829,Warszawa,Taneczna,28,L-1100T,1,150102_150106_150104_200139,co tydzień piątek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-1100T,247.5,L-1100,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150102_150106_150104_200139
BWC,02-255,Warszawa,Krakowiaków,9,L-240T,1,150102_150106_150104_200139,2 i 4 piątek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-240T,54.0,L-240,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150102_150106_150104_200139
BHC,,Kajetany,Miedziana,12,L-1100T,1,150102_150106_150104_200139,2 i 4 piątek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-1100T,247.5,L-1100,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150102_150106_150104_200139
BWA,02-239,Warszawa,Leonidasa,15,L-1100T,1,150102_150106_150104_200139,co tydzień piątek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-1100T,247.5,L-1100,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150102_150106_150104_200139
BHB,05-552,Walendów,Nad Utratą,32,L-1100T,1,150102_150106_150104_200139,2 i 4 piątek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-1100T,247.5,L-1100,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150102_150106_150104_200139
BHC,05-830,Kajetany,Brzozowa,18,L-240T,1,150102_150106_150104_200139,co tydzień piątek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-240T,54.0,L-240,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150102_150106_150104_200139
BHC,05-090,Raszyn,Emaliowa,11,L-240T,1,150102_150106_150104_200139,2 i 4 piątek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-240T,54.0,L-240,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150102_150106_150104_200139
BWB,02-235,Warszawa,Równoległa,8,L-1100T,1,150102_150106_150104_200139,co tydzień piątek,Zmieszane odpady opakowaniowe,"150102, 150104, 200139",0.225,L-1100T,247.5,L-1100,co tydzień piątek,1 raz w tygodniu,"1, 2, 3, 4",Pt,0,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150102_150106_150104_200139
BWC,02-261,Warszawa,Robotnicza,23,L-240T,1,150102_150106_150104_200139,2 i 4 piątek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-240T,54.0,L-240,2 i 4 piątek,2 razy w miesiącu,"2, 4",Pt,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150102_150106_150104_200139
BHC,05-830,Wolica,Centralna,30,L-240T,1,150102_150106_150104_200139,4 piątek,Opakowania z tworzyw sztucznych,"150106, 150104, 200139",0.225,L-240T,54.0,L-240,4 piątek,1 raz w miesiącu,4,Pt,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4Pt,4Pt_B_150102_150106_150104_200139
