Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Typ pojemnika,Ilość poj.,Kod odpadu,Cykl odbiorów,Nazwa_odpadu,Możliwość łączenia,Kompresja,Typ_pojemnika,Pojemnosc,Typ_wlasciwy,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups
BRB,96-321,Siestrzeń,Żelechowska,14,L-1100P,1,150101_200201,2 i 4 środa,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201
BRA,96-300,Wręcza,Nowy Świat,26,L-1100P,1,150101_200201,co tydzień środa,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201
BWC,05-552,Jabłonowo,Nadrzeczna,5,L-1100P,1,150101_200201,2 i 4 środa,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,2 i 4 środa,2 razy w miesiącu,"2, 4",Sr,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201
BRC,05-825,Książenice,Marylskiego,16,L-1100P,1,150101_200201,co tydzień środa,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201
BWA,02-676,Warszawa,Suwak,12,L-1100P,1,150101_200201,poniedziałek środa,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,poniedziałek środa,2 razy w tygodniu,"1, 2, 3, 4","Pn, Sr",0,0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201
BWB,01-891,Warszawa,Staffa,7,L-240B,1,150101_200201,co tydzień środa,Odpady ulegające biodegradacji,"200108, 200301",0.45,L-240B,108.0,L-240,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201
BWC,05-504,Henryków-Urocze,Urocza,33,L-120P,1,150101_200201,4 środa,Opakowania z papieru i tektury,200201,0.27,L-120P,32.400000000000006,L-120,4 środa,1 raz w miesiącu,4,Sr,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201
BHC,05-555,Komorniki,Leśna,21,L-240P,1,150101_200201,4 środa,Opakowania z papieru i tektury,200201,0.27,L-240P,64.80000000000001,L-240,4 środa,1 raz w miesiącu,4,Sr,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201
BWC,05-552,Łazy,Przyszłości,10,L-1100P,1,150101_200201,co tydzień środa,Opakowania z papieru i tektury,200201,0.27,L-1100P,297.0,L-1100,co tydzień środa,1 raz w tygodniu,"1, 2, 3, 4",Sr,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201
BRC,05-825,Opypy,Gilewicza,34,L-120P,1,150101_200201,4 środa,Opakowania z papieru i tektury,200201,0.27,L-120P,32.400000000000006,L-120,4 środa,1 raz w miesiącu,4,Sr,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4Sr,4Sr_B_150101_200201
